layer,signal,dataset,date,year,stock_id,stock_name,industry_category,risk_level,risk_label,risk_reasons,ret_20d,signal_day_ret_1d,next_open_gap,avg_amount_20d,t1_open_excess_20d,t1_open_excess_60d,right_tail_20_ge20,right_tail_60_ge50
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-02-01,2023,3443,創意,電子工業,1,Level 1 追高警戒 / 可看但不要追,next_open_gap>1%,0.0767123287671232,0.0051150895140665,0.0152671755725191,4641500320.05,0.3306961817662361,0.4210118641168565,True,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-02-06,2023,5292,華懋,綠能環保,3,Level 3 暫不追 / 風險 veto,low_liquidity,0.0291858678955454,0.0029940119760478,-0.0022388059701493,389243.9,0.0588583076158053,0.2168300680437533,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-02-09,2023,6472,保瑞,化學生技醫療,2,Level 2 高追高 / 只觀察,ret_20d>27%;two_or_more_Level1_conditions,0.2738238843871523,0.027237352411175,0.0265151530086196,1909599378.3,-0.0235107137690735,0.452548895669104,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-04-10,2023,4763,材料*-KY,化學生技醫療,2,Level 2 高追高 / 只觀察,signal_day_ret_1d>9%;ret_20d>27%;two_or_more_Level1_conditions,0.281524926686217,0.0925,-0.0080091533180778,2203311559.35,0.2333961335061647,0.4620005395235187,True,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-04-13,2023,4169,泰宗,生技醫療業,3,Level 3 暫不追 / 風險 veto,low_liquidity,0.1402805611222444,0.0106571936056838,-0.0159929701230228,9409567.4,-0.0223403834936666,0.1624901748951423,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-05-24,2023,3032,偉訓,電子零組件業,1,Level 1 追高警戒 / 可看但不要追,next_open_gap>1%,0.1239837488977655,0.0146788905367905,0.0126582306512765,282058960.35,0.0303262056917026,0.1657065880974685,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-06-01,2023,4979,華星光,通信網路業,2,Level 2 高追高 / 只觀察,signal_day_ret_1d>9%;two_or_more_Level1_conditions,0.2011385161639252,0.0989583295935709,0.0142180115688608,818449572.6,0.9175657243100284,1.4346786154669482,True,True
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-06-02,2023,6215,和椿,其他電子業,3,Level 3 暫不追 / 風險 veto,low_liquidity,0.1551724424812308,0.0060060239065247,0.0059701342047671,37366123.8,-0.125057705832929,-0.2117400018192082,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-06-02,2023,6831,邁科,電腦及週邊設備業,3,Level 3 暫不追 / 風險 veto,low_liquidity,0.1157495256166982,0.0103092783505154,-0.0003401360544217,1208086.25,0.1687216839924045,0.2041720210847484,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-06-06,2023,5292,華懋,綠能環保,3,Level 3 暫不追 / 風險 veto,low_liquidity,0.1962732919254657,0.0115546218487394,-0.0035306334371755,4331512.7,0.2881966416291983,0.1452419039592731,True,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-07-05,2023,3704,合勤控,電子工業,1,Level 1 追高警戒 / 可看但不要追,ret_20d>25%,0.260368670738238,0.0205223761821624,0.0054844611623963,515195154.85,-0.0679914743461021,-0.0308603114082509,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-07-17,2023,1519,華城,電機機械,2,Level 2 高追高 / 只觀察,ret_20d>27%;two_or_more_Level1_conditions,0.3853503167315342,0.0874999978134589,0.0045977023780086,1717045970.4,0.0742565754602193,0.3680910404008771,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-07-19,2023,2421,建準,電子零組件業,3,Level 3 暫不追 / 風險 veto,next_open_gap>5%,0.2638580931263858,0.0133333333333334,0.0526315789473683,2197334119.95,0.1881369759716166,-0.1695140703263955,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2023-08-01,2023,6531,愛普*,電子工業,0,Level 0 正常候選 / 可以研究,none,0.2231012639390788,0.0131061591361767,0.0,2559774790.5,-0.1180752211592835,-0.0062420494071877,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2024-05-02,2024,3234,光環,通信網路業,2,Level 2 高追高 / 只觀察,ret_20d>27%,0.3074935400516796,0.012,-0.0217391304347825,142305600.45,-0.078263568350498,-0.3194685578916159,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2024-05-03,2024,6419,京晨科,光電業,3,Level 3 暫不追 / 風險 veto,low_liquidity,0.3925925903910003,0.0666666595840972,-0.0066489345997936,19210658.4,0.8894878420445046,0.9133288652786744,True,True
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2024-07-15,2024,8147,正淩,電子零組件業,0,Level 0 正常候選 / 可以研究,none,0.2044647079993944,0.0240549867395387,-0.0067114094877424,303213980.4,-0.092546173602254,-0.1190009692475896,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2024-10-22,2024,6231,系微,資訊服務業,0,Level 0 正常候選 / 可以研究,none,0.1420345497505599,0.0294117642876343,-0.0033613446945299,796655236.85,-0.1383610862692024,-0.3415846942665907,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-06-10,2025,5439,高技,電子零組件業,2,Level 2 高追高 / 只觀察,ret_20d>27%;two_or_more_Level1_conditions,0.2988505763122191,0.0610328616036908,-0.0442477884797755,2855552099.45,0.1205827168328924,0.3943170220998044,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-08-04,2025,3294,英濟,電子零組件業,2,Level 2 高追高 / 只觀察,signal_day_ret_1d>9%;ret_20d>27%;two_or_more_Level1_conditions,0.3875862068965516,0.0994535519125683,0.0238568588469185,426779687.75,0.0886193862734387,-0.3941588462622862,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-08-13,2025,5536,聖暉*,其他電子類,2,Level 2 高追高 / 只觀察,ret_20d>27%;two_or_more_Level1_conditions,0.2734530940289956,0.0424836596199413,0.0078369905659272,558966585.4,0.4239938201281796,-0.1567191359211019,True,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-08-19,2025,3163,波若威,通信網路業,0,Level 0 正常候選 / 可以研究,none,0.1794871794871795,0.0024213075060532,-0.0314009661835749,2192265214.0,0.0458269612811221,0.0315145584472277,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-08-28,2025,1560,中砂,電機機械,1,Level 1 追高警戒 / 可看但不要追,next_open_gap>1%,0.0660522273425499,0.0175953079178885,0.0144092219020173,1438528031.95,-0.1149241292437165,-0.2226971005148718,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-08-28,2025,7402,邑錡,光電業,2,Level 2 高追高 / 只觀察,signal_day_ret_1d>9%;ret_20d>27%;two_or_more_Level1_conditions,0.3924050632911393,0.1,0.0,456289849.85,-0.0278029171225043,-0.0820721005148719,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-11-28,2025,3163,波若威,通信網路業,3,Level 3 暫不追 / 風險 veto,signal_day_ret_1d>9% & next_open_gap>3%,0.3195020746887966,0.0984455958549221,0.0471698113207548,2414893502.15,0.1458570276648222,0.7946516250616538,False,True
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2025-12-01,2025,5469,瀚宇博,電子零組件業,0,Level 0 正常候選 / 可以研究,none,0.1331300813008129,0.0324074074074074,0.0089686098654708,1616535175.45,-0.2308525445230278,-0.4295264488472925,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2026-01-22,2026,6949,沛爾生醫-創,創新板股票,0,Level 0 正常候選 / 可以研究,none,0.2478873239436618,0.0230946882217089,0.002257336343115,101078074.75,0.3479112143084514,0.4267191606423355,True,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2026-01-27,2026,2486,一詮,電子工業,2,Level 2 高追高 / 只觀察,signal_day_ret_1d>9%;ret_20d>27%;two_or_more_Level1_conditions,0.3239875335932625,0.0991379284286047,0.0,1253263662.6,-0.0347578431657865,0.8854106646507487,False,True
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2026-01-29,2026,3163,波若威,通信網路業,1,Level 1 追高警戒 / 可看但不要追,next_open_gap>1%,0.1856963613550815,0.0128617363344052,0.0201058201058201,2829417089.1,0.549633085659915,0.8740212264670382,True,True
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2026-01-29,2026,6291,沛亨,半導體業,2,Level 2 高追高 / 只觀察,signal_day_ret_1d>9%;two_or_more_Level1_conditions,0.2506393874008594,0.0988764041962904,-0.0020449894856281,162327677.6,0.1467948449532818,0.6830244786500761,False,True
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2026-02-25,2026,4722,國精化,化學工業,3,Level 3 暫不追 / 風險 veto,signal_day_ret_1d>9% & next_open_gap>3%,0.2777777777777777,0.0981432360742706,0.0314009661835748,381674258.95,-0.1258976468905357,0.018823370871277,False,False
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,2026-03-17,2026,5351,鈺創,半導體業,3,Level 3 暫不追 / 風險 veto,next_open_gap>5%;signal_day_ret_1d>9% & next_open_gap>3%,0.3817204301075267,0.0998573466476462,0.08041504539559,1285212143.35,-0.2744127112124309,-0.2503535505111134,False,False
