layer,signal,dataset,field,bucket,threshold_low,threshold_high,holdout_n,avg20,win20,avg60,win60,notes
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,low,0.013181883868562266,0.039124908882429976,4,0.4348815930007823,1.0,0.8740212264670382,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,mid,0.013181883868562266,0.039124908882429976,8,0.2706921008875243,0.8333333333333334,0.4267191606423355,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,signal_day_ret_1d,high,0.013181883868562266,0.039124908882429976,14,0.16025619884986633,0.7142857142857143,0.21109947554158937,0.6666666666666666,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,next_open_gap,low,-0.0029871651197363675,0.008591403432289597,7,0.321261921292368,1.0,-0.1579172729889291,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,next_open_gap,mid,-0.0029871651197363675,0.008591403432289597,9,0.2128263092700012,0.7777777777777778,0.6650514346477201,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,next_open_gap,high,-0.0029871651197363675,0.008591403432289597,10,0.1661719821301753,0.625,0.18252505235116967,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,ret_20d,low,0.16327735481654698,0.2737002876011001,3,0.28354434365679876,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,ret_20d,mid,0.16327735481654698,0.2737002876011001,15,0.2647607681405083,0.9230769230769231,0.3826913510695995,0.8,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,ret_20d,high,0.16327735481654698,0.2737002876011001,8,0.12569445020408818,0.42857142857142855,0.2179601616703041,0.6666666666666666,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,range_pos,low,1.0,1.0,26,0.2248862681837227,0.782608695652174,0.32091715504486373,0.75,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,range_pos,mid,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,range_pos,high,1.0,1.0,0,,,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,signal_day_ret_1d,low,0.013257608853939166,0.049184697017420495,5,0.30409868658575767,0.75,0.8740212264670382,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,signal_day_ret_1d,mid,0.013257608853939166,0.049184697017420495,11,0.2244555034493029,0.9,0.4267191606423355,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,signal_day_ret_1d,high,0.013257608853939166,0.049184697017420495,15,0.12409258097019803,0.6,0.10086005219978741,0.625,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,next_open_gap,low,-0.003417774170935233,0.008214197018897732,6,0.32483598074546743,1.0,-0.1579172729889291,0.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,next_open_gap,mid,-0.003417774170935233,0.008214197018897732,9,0.27425520673863163,0.8888888888888888,0.6536172496163645,1.0,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,next_open_gap,high,-0.003417774170935233,0.008214197018897732,16,0.08199078206760052,0.5333333333333333,0.050781054807918106,0.6666666666666666,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,ret_20d,low,0.14144988633697325,0.27357669060752626,4,0.3156717589079584,1.0,,,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
strict_candidate,candidate_b_magic_c440_c5gt5,raw_only,ret_20d,mid,0.14144988633697325,0.27357669060752626,17,0.15553464365897493,0.7333333333333333,0.37583084075951395,0.8,"tercile thresholds learned from 2023-2025, applied to 2026 holdout"
