layer,source_family,signal,price_mode,year,scope,source_file,signals,n20,avg20,median20,win20,n20_excess,avg20_excess,median20_excess,win20_excess,n60,avg60,median60,win60,n60_excess,avg60_excess,median60_excess,win60_excess,notes
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,17,16,0.1353399621450995,0.0605362394386068,0.625,,,,,16,0.1607787145429947,0.1382629610050117,0.5625,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,5,5,0.07735314150464445,-0.078263568350498,0.2,,,,,5,-0.04243318258085649,-0.2945898138895716,0.2,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,12,12,0.10573613396416111,0.0304082345754672,0.5,,,,,12,0.05350074069568872,-0.12401491491377435,0.3333333333333333,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,29,22,0.13549836578325827,0.10366378751326599,0.6818181818181818,,,,,10,0.20662318172620756,0.28466984561465464,0.6,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,25,24,0.05533624626813188,-0.02292554863137005,0.375,,,,,24,0.18392793636003782,0.0461502722392194,0.5416666666666666,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,11,11,0.016431768208505313,-0.0742048947186363,0.2727272727272727,,,,,11,-0.04797174776363105,-0.1190009692475896,0.18181818181818182,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,21,21,0.09842010200138016,0.0458269612811221,0.5238095238095238,,,,,21,0.11038823054505009,-0.0820721005148719,0.47619047619047616,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,63,49,0.08619213532684798,0.0639338341271076,0.5510204081632653,,,,,20,0.15902457020654662,0.1021625188806733,0.6,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,adj,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
