date,stock_id,stock_name,industry_category,price_mode,candidate,close,avg_amount_20d,range_pos,gap1,gap2,ret_20d,days_since_max_volume,top5_volume_ratio_120,signal_day_ret_1d,next_open_gap,t1_open_excess_20d,t1_open_excess_60d,risk_signal_day_gt9,risk_next_gap_gt3,risk_liquidity_lt100m,is_main_spec,is_weak_momentum,is_floor15_observation,is_high_open_risk,is_low_liquidity_risk,momentum_bucket_zh,strategy_role_zh,research_priority_zh,research_tags,source_type,ret_60d_signal,ret60_cap150_pass,top1_to_top3_volume_ratio,top1_to_top5_volume_ratio,top1_to_top10_volume_ratio,volume_gap_risk_zh,volgap_subtype_zh,volgap_score_impact,risk_daily_long_ma_bear,risk_weekly_long_ma_bear,risk_any_long_ma_bear,risk_long_ma_score,risk_badge_zh
2026-05-29,6548,長科*,半導體業,raw,B_magic_c4_40_fixed20,68.2,574590856.0,1.0,0.1100598054092651,0.1541531322505798,0.3217054263565893,25.0,0.9243093856490758,0.0271084337349396,0.0454545454545454,,,False,True,False,False,False,False,True,False,高動能30-40%,寬基準觀察,規格觀察,非主規格;高開風險,reconstructed,0.4842219804134928,True,1.0444021091372238,1.0818888302186525,1.2632844150412064,量能結構正常,正常,0,False,True,True,-1,研究中;周長均空頭
2026-05-29,6548,長科*,半導體業,adjusted,B_magic_c4_40_fixed20,67.86605,574590856.0,1.0,0.1100598037893141,0.1541531323586018,0.321705426809501,25.0,0.9243093856490758,0.0271084326408903,0.045454553491768,,,False,True,False,False,False,False,True,False,高動能30-40%,寬基準觀察,規格觀察,非主規格;高開風險,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-28,6015,宏遠證,金融業,raw,B_magic_c4_40_fixed20,18.0,87004794.65,1.0,0.0626582278481011,0.0743880979043354,0.281138790035587,74.0,0.4387875959517293,0.0027855153203342,0.0166666666666666,,,False,False,True,False,False,False,False,True,中高25-30%,寬基準觀察,規格觀察,非主規格;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-28,6015,宏遠證,金融業,adjusted,B_magic_c4_40_fixed20,18.0,87004794.65,1.0,0.0626582278481011,0.0743880979043352,0.281138790035587,74.0,0.4387875959517293,0.0027855153203342,0.0166666666666666,,,False,False,True,False,False,False,False,True,中高25-30%,寬基準觀察,規格觀察,非主規格;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-21,6902,GOGOLOOK,數位雲端,raw,A_repo50_c4_40_fixed20,130.5,55845091.3,0.9490909090909092,0.1005338078291815,0.1209787041232444,0.2083333333333332,23.0,0.5742080873867941,0.01953125,0.0842911877394636,,,False,True,True,True,False,True,True,True,中段15-25%,主規格CandidateA,中優先-有交易風險,主規格;floor15觀察;高開風險;低流動,reconstructed,0.6539923954372622,True,1.1674444127828734,1.741528936924197,2.8095395713982603,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-21,6902,GOGOLOOK,數位雲端,adjusted,A_repo50_c4_40_fixed20,130.5,55845091.3,0.8976608187134503,0.1005338078291815,0.1209787041232444,0.2083333333333332,23.0,0.5742080873867941,0.01953125,0.0842911877394636,,,False,True,True,True,False,True,True,True,中段15-25%,主規格CandidateA,中優先-有交易風險,主規格;floor15觀察;高開風險;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-21,6902,GOGOLOOK,數位雲端,raw,B_magic_c4_40_fixed20,130.5,55845091.3,0.9490909090909092,0.1005338078291815,0.1209787041232444,0.2083333333333332,23.0,0.5742080873867941,0.01953125,0.0842911877394636,,,False,True,True,False,False,False,True,True,中段15-25%,寬基準觀察,規格觀察,非主規格;高開風險;低流動,reconstructed,0.6539923954372622,True,1.1674444127828734,1.741528936924197,2.8095395713982603,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-21,6902,GOGOLOOK,數位雲端,adjusted,B_magic_c4_40_fixed20,130.5,55845091.3,0.8976608187134503,0.1005338078291815,0.1209787041232444,0.2083333333333332,23.0,0.5742080873867941,0.01953125,0.0842911877394636,,,False,True,True,False,False,False,True,True,中段15-25%,寬基準觀察,規格觀察,非主規格;高開風險;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
2026-05-21,6902,GOGOLOOK,數位雲端,raw,C_c4_25_fixed20,130.5,55845091.3,0.9490909090909092,0.1005338078291815,0.1209787041232444,0.2083333333333332,23.0,0.5742080873867941,0.01953125,0.0842911877394636,,,False,True,True,False,False,False,True,True,中段15-25%,高濃度觀察,規格觀察,高濃度;高開風險;低流動,reconstructed,0.6539923954372622,True,1.1674444127828734,1.741528936924197,2.8095395713982603,大量斷層觀察,危險斷層,-10,False,False,False,0,研究中;危險斷層
2026-05-21,6902,GOGOLOOK,數位雲端,adjusted,C_c4_25_fixed20,130.5,55845091.3,0.8976608187134503,0.1005338078291815,0.1209787041232444,0.2083333333333332,23.0,0.5742080873867941,0.01953125,0.0842911877394636,,,False,True,True,False,False,False,True,True,中段15-25%,高濃度觀察,規格觀察,高濃度;高開風險;低流動,reconstructed,,,,,,待補,待補,0,,,,0,研究中
