regime,regime_value,signal,signals,n_raw_20d,avg_raw_20d,median_raw_20d,win_raw_20d,n_excess_20d,avg_excess_20d,median_excess_20d,win_excess_20d,n_t1_20d,avg_t1_20d,median_t1_20d,win_t1_20d,n_t1_excess_20d,avg_t1_excess_20d,median_t1_excess_20d,win_t1_excess_20d,n_t1_open_20d,avg_t1_open_20d,median_t1_open_20d,win_t1_open_20d,n_t1_open_excess_20d,avg_t1_open_excess_20d,median_t1_open_excess_20d,win_t1_open_excess_20d,n_raw_60d,avg_raw_60d,median_raw_60d,win_raw_60d,n_excess_60d,avg_excess_60d,median_excess_60d,win_excess_60d,n_t1_60d,avg_t1_60d,median_t1_60d,win_t1_60d,n_t1_excess_60d,avg_t1_excess_60d,median_t1_excess_60d,win_t1_excess_60d,n_t1_open_60d,avg_t1_open_60d,median_t1_open_60d,win_t1_open_60d,n_t1_open_excess_60d,avg_t1_open_excess_60d,median_t1_open_excess_60d,win_t1_open_excess_60d,avg_signal_day_ret_1d,pct_signal_day_gt9,pct_next_gap_gt3,pct_next_gap_lt_minus3,pct_low_liquidity_lt100m
regime_close_gt_ma60,False,c1_c2,69,69,-0.04030417501321133,-0.0392156862745098,0.4057971014492754,69,-0.03087998254930528,-0.0495768548938432,0.42028985507246375,68,-0.04336869275873486,-0.03495044340114755,0.35294117647058826,68,-0.035994394168755404,-0.04290055694313133,0.4264705882352941,68,-0.04870184648657582,-0.0482978905848052,0.36764705882352944,68,-0.04206870541041072,-0.04660656694221277,0.4264705882352941,69,-0.005349756070068733,-0.0063291139240506,0.4782608695652174,69,-0.021314946404102378,-0.0350303149283057,0.42028985507246375,68,-0.005844802558464367,-0.026492841777316152,0.4411764705882353,68,-0.018160973970266062,-0.07324056121005518,0.36764705882352944,68,-0.011364236523220828,-0.0327144391591222,0.4117647058823529,68,-0.024535934055596138,-0.07251461057673689,0.35294117647058826,0.040747502947610925,0.18840579710144928,0.08695652173913043,0.014492753623188406,0.2898550724637681
regime_close_gt_ma60,False,c1_c2_c3,40,40,-0.06074561570869398,-0.08525002290327266,0.375,40,-0.0605774480443837,-0.0855344757698511,0.325,40,-0.06067376369322312,-0.053824733148146245,0.35,40,-0.059553205361284035,-0.07244084916424107,0.325,40,-0.07030404963084447,-0.062191291742725203,0.35,40,-0.07103017760280543,-0.09200257146662363,0.325,40,-0.012075572097462305,-0.06995406554230085,0.425,40,-0.029418628617279435,-0.10328929961808946,0.375,40,-0.013440273260243257,-0.07499184052622325,0.4,40,-0.023778229190980254,-0.10506924022153663,0.375,40,-0.02316347312917006,-0.07744158628081454,0.375,40,-0.03556885615054277,-0.10172225988084979,0.325,0.04885405522551154,0.275,0.125,0.0,0.225
regime_close_gt_ma60,False,magic26_v0,15,15,-0.07708115141410823,-0.0999999999999999,0.26666666666666666,15,-0.06276553173658957,-0.12634174631322612,0.2,15,-0.08216647467495422,-0.0669371196754563,0.2,15,-0.06301278287877628,-0.058009169607037586,0.26666666666666666,15,-0.08429536263778142,-0.0857449088960342,0.26666666666666666,15,-0.06495120738065646,-0.07180727459368019,0.26666666666666666,15,-0.036566375408084086,-0.1196388261851015,0.2,15,-0.02532111896461321,-0.11975759403029138,0.2,15,-0.050922600322027695,-0.096085409252669,0.2,15,-0.03121025241950781,-0.10978191533524456,0.2,15,-0.05005047867036974,-0.1180555555555555,0.2,15,-0.0300552372961767,-0.11645267558908745,0.2,0.04368514579291958,0.2,0.06666666666666667,0.0,0.13333333333333333
regime_close_gt_ma60,False,magic26_v0_quality,14,14,-0.0871061545718571,-0.13369098712446348,0.21428571428571427,14,-0.07029000595542516,-0.12773569319328595,0.14285714285714285,14,-0.09092277948163875,-0.07731882721740725,0.14285714285714285,14,-0.06907540160027636,-0.07244084916424107,0.21428571428571427,14,-0.09281396246655403,-0.08652324809881075,0.21428571428571427,14,-0.07051972995741143,-0.09589045837844438,0.21428571428571427,14,-0.023235502649761198,-0.11507692382216445,0.21428571428571427,14,-0.02094744904603865,-0.12540746608754783,0.21428571428571427,14,-0.03560436778163527,-0.0942138757975057,0.21428571428571427,14,-0.02559799078266947,-0.10496044258571567,0.21428571428571427,14,-0.034394743630341194,-0.10925099206349205,0.21428571428571427,14,-0.023883991703825925,-0.12176469749703529,0.21428571428571427,0.04473886390496873,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285
regime_close_gt_ma60,True,c1_c2,314,296,0.09312678768052164,0.032727781223020655,0.5675675675675675,296,0.0587617849699185,-0.0009524700747592166,0.4966216216216216,296,0.0899070079152371,0.02920505250072145,0.5540540540540541,296,0.05602240442204287,-0.004860989215831911,0.4831081081081081,296,0.08781055582754935,0.032768361581920855,0.5878378378378378,296,0.053666820661729044,0.000680112525914163,0.5033783783783784,252,0.20088602151619,0.09948054729964916,0.6071428571428571,252,0.1118923354903313,0.00509878809050074,0.5119047619047619,251,0.19492425456328116,0.069767441860465,0.6135458167330677,251,0.1037450899255733,-0.019415754883485264,0.47410358565737054,251,0.19102846975866755,0.0846715328467153,0.6175298804780877,251,0.10085264344925762,-0.00682272424444319,0.4820717131474104,0.04412711940658549,0.23885350318471338,0.16560509554140126,0.05732484076433121,0.3248407643312102
regime_close_gt_ma60,True,c1_c2_c3,168,153,0.11771707930890737,0.0590163934426228,0.5816993464052288,153,0.07976633156332624,0.005470289206151481,0.5163398692810458,153,0.11545671011362757,0.075609756097561,0.5620915032679739,153,0.07862894713054219,0.014042427801674334,0.5163398692810458,153,0.1117349380521897,0.0581818181818181,0.5882352941176471,153,0.07510517792182697,0.018379315358525182,0.5228758169934641,120,0.2658791323635085,0.14665554937928488,0.6416666666666667,120,0.15801141495449525,0.02741285634021788,0.5333333333333333,119,0.25816771379057746,0.1022044088176352,0.6470588235294118,119,0.14719577980697923,-0.0031367898015730866,0.4957983193277311,119,0.248539849541584,0.1293375394321765,0.6386554621848739,119,0.13992604273030912,0.0035931462262225565,0.5042016806722689,0.05492131107164137,0.34523809523809523,0.23214285714285715,0.06547619047619048,0.26785714285714285
regime_close_gt_ma60,True,magic26_v0,75,72,0.1577501227315557,0.11409572865835291,0.6527777777777778,72,0.11895610978729404,0.07154345227298778,0.6388888888888888,72,0.15148176043349507,0.1025328330206379,0.6666666666666666,72,0.11608283733947294,0.06021866418433702,0.6111111111111112,72,0.14663755564561215,0.10082216334164565,0.6527777777777778,72,0.11089508039748566,0.06053623943860682,0.6111111111111112,54,0.22735343213228715,0.1597583648901573,0.6296296296296297,54,0.12761526568667994,0.06757402283113322,0.5555555555555556,53,0.22735080324974247,0.1654929577464787,0.6981132075471698,53,0.13132797879991426,0.02270319740033705,0.5283018867924528,53,0.21721891908824212,0.1628664495114007,0.6415094339622641,53,0.12271781013888558,0.03151455844722778,0.5283018867924528,0.04731625881365933,0.28,0.17333333333333334,0.04,0.18666666666666668
regime_close_gt_ma60,True,magic26_v0_quality,62,60,0.14671880377667626,0.09301386083443615,0.6333333333333333,60,0.10439808467378227,0.05800506337545508,0.6166666666666667,60,0.14312040627506115,0.0977567567567567,0.65,60,0.10489054855737658,0.05267308331923267,0.5833333333333334,60,0.13387685139904856,0.08812463256907696,0.6333333333333333,60,0.09552463064985295,0.04043504850458018,0.5666666666666667,44,0.23183567467724595,0.14285982819225923,0.6136363636363636,44,0.11106881771302896,0.019005551375608172,0.5227272727272727,43,0.22859945927804812,0.1585585585585585,0.6744186046511628,43,0.11132811079486278,-0.0031367898015730866,0.4883720930232558,43,0.21477186317483216,0.1482142857142856,0.627906976744186,43,0.09993469714127945,-0.006242049456020207,0.4883720930232558,0.04769276822535027,0.2903225806451613,0.1935483870967742,0.04838709677419355,0.06451612903225806
regime_ma20_gt_ma60,False,c1_c2,80,80,0.012411352762537728,0.010390755489286651,0.55,80,0.010482659464488944,-0.008413276067689077,0.4875,79,0.005024204592619092,-0.0042194092827003,0.4810126582278481,79,0.0015108743751430995,0.004205245748513893,0.5189873417721519,79,0.005260100419943479,0.002159827213823,0.5063291139240507,79,0.0021468886178926017,0.009104128718272125,0.5189873417721519,80,0.05851398964891121,0.0099920130453591,0.525,80,0.04317989044723759,-0.017515523288998906,0.475,79,0.055747546751792575,-0.0099009900990099,0.4810126582278481,79,0.04264421702327262,-0.021203766685917495,0.4050632911392405,79,0.055762736148977435,-0.0066555740432612,0.4810126582278481,79,0.043088590795399596,-0.017946027540841396,0.43037974683544306,0.04189819592227223,0.2,0.0875,0.0125,0.2875
regime_ma20_gt_ma60,False,c1_c2_c3,41,41,-0.005097030286894604,0.0024242424242424,0.5121951219512195,41,-0.007443274754842994,-0.024064202437807547,0.3902439024390244,41,-0.010627761421558472,-0.0132530120481927,0.43902439024390244,41,-0.011539191755057267,-0.007958229687345754,0.4634146341463415,41,-0.015490559882667019,-0.0063291139240506,0.4634146341463415,41,-0.015865104341962127,-0.01202376579914802,0.4634146341463415,41,0.03208584992700663,-0.0676470588235295,0.43902439024390244,41,0.026356127172360824,-0.08265893646714687,0.43902439024390244,41,0.03210645170020137,-0.0536082474226804,0.36585365853658536,41,0.031131188847372985,-0.08204739654168654,0.3902439024390244,41,0.027160165025946797,-0.0695652173913043,0.4146341463414634,41,0.026717188615746873,-0.08679574980999766,0.3902439024390244,0.05228654147139184,0.2926829268292683,0.14634146341463414,0.0,0.21951219512195122
regime_ma20_gt_ma60,False,magic26_v0,18,18,-0.048981102231669044,-0.06709674751359505,0.3888888888888889,18,-0.03992568473321321,-0.06447852981575418,0.3333333333333333,18,-0.05224860123206827,-0.04113158384515165,0.3333333333333333,18,-0.03910182457040689,-0.04499897389077312,0.4444444444444444,18,-0.05707651135726999,-0.0464410872574137,0.3888888888888889,18,-0.04303561324186388,-0.027223460519189932,0.3888888888888889,18,0.022158313154775917,-0.11507692382216445,0.2777777777777778,18,0.02556018327391079,-0.10328929961808946,0.2777777777777778,18,0.0170908286531373,-0.09094729057415625,0.2777777777777778,18,0.027139298183669096,-0.09250175056693535,0.2777777777777778,18,0.014374647900268335,-0.10925099206349205,0.2777777777777778,18,0.025377503799651542,-0.10172225988084979,0.2777777777777778,0.04248414654178656,0.16666666666666666,0.05555555555555555,0.0,0.2222222222222222
regime_ma20_gt_ma60,False,magic26_v0_quality,16,16,-0.05621713671936707,-0.08931238000426645,0.375,16,-0.046856488504326485,-0.06925054694589752,0.3125,16,-0.05847940525891198,-0.042548093379886354,0.3125,16,-0.045618872952378944,-0.0538173221472091,0.375,16,-0.06387113743699088,-0.0595124483503575,0.375,16,-0.04984797622343987,-0.04660656694221277,0.3125,16,0.0503205649307112,-0.10578015881323735,0.3125,16,0.038397310082334726,-0.11819102127639738,0.3125,16,0.046962795715186745,-0.0822092744831989,0.3125,16,0.0407736932986968,-0.09250175056693535,0.3125,16,0.04388855347987647,-0.09122321428571431,0.3125,16,0.038897941980403423,-0.10172225988084979,0.3125,0.04361085511449935,0.1875,0.0625,0.0,0.1875
regime_ma20_gt_ma60,True,c1_c2,303,285,0.08347941353164844,0.0189573459715639,0.5333333333333333,285,0.050611076484332274,-0.011116780639222293,0.4807017543859649,285,0.0816368107806993,0.0155844155844155,0.5263157894736842,285,0.04917773273618603,-0.01619815799883456,0.45964912280701753,285,0.07812158256383131,0.018939393939394,0.5578947368421052,285,0.04510562367421177,-0.006200527457441284,0.4807017543859649,241,0.18909968913415864,0.0903426791277257,0.5975103734439834,241,0.09656326143527558,-0.0039591415251372854,0.4979253112033195,240,0.1838520213667349,0.06779495115221121,0.6083333333333333,240,0.08931740915209278,-0.026172893345427294,0.4666666666666667,240,0.17820884029198888,0.06833587527537704,0.6041666666666666,240,0.08433988048811066,-0.017726454897566697,0.4625,0.04394599842663769,0.2376237623762376,0.16831683168316833,0.0594059405940594,0.32673267326732675
regime_ma20_gt_ma60,True,c1_c2_c3,167,152,0.10388070228735359,0.051622823042260346,0.5460526315789473,152,0.06635740179185612,0.0014559883765180685,0.5,152,0.10311621261802627,0.04614541566426085,0.5394736842105263,152,0.06658689183209832,-0.006344651024959664,0.48026315789473684,152,0.09814734534171442,0.03601319934003295,0.5592105263157895,152,0.06118654207860364,-0.004725959575969999,0.4868421052631579,119,0.25299960632533836,0.1352657004830917,0.6386554621848739,119,0.14036994483849966,0.002587600306474775,0.5126050420168067,118,0.2446439194149214,0.09156463215448225,0.6610169491525424,118,0.12956601598855108,-0.00337986767524081,0.4915254237288136,118,0.2333570881713379,0.11542558117995735,0.6271186440677966,118,0.11977152631897844,-0.01210183439938244,0.4830508474576271,0.05411493574089309,0.3413173652694611,0.2275449101796407,0.0658682634730539,0.2694610778443114
regime_ma20_gt_ma60,True,magic26_v0,72,69,0.16062973051638305,0.1287878787878789,0.6376811594202898,69,0.12089882976571253,0.07331640604558456,0.6231884057971014,69,0.15383571671397914,0.1050656660412758,0.6521739130434783,69,0.11763196213808302,0.06158776294128546,0.5797101449275363,69,0.14957754741084361,0.1106796116504855,0.6376811594202898,69,0.11282345965598073,0.06393383412710762,0.5942028985507246,51,0.22215176602424072,0.1578400830737278,0.6274509803921569,51,0.118653416934924,0.03330661112294117,0.5490196078431373,50,0.2195623730329893,0.1620257581525186,0.7,50,0.1200744344559359,0.022565999373112836,0.52,50,0.21006203738832913,0.15554036761284315,0.64,50,0.1119284061904911,0.02516896465925242,0.52,0.047767805002306735,0.2916666666666667,0.18055555555555555,0.041666666666666664,0.16666666666666666
regime_ma20_gt_ma60,True,magic26_v0_quality,60,58,0.14626062500180087,0.09301386083443615,0.603448275862069,58,0.10395739332965873,0.05800506337545508,0.5862068965517241,58,0.14224096461902272,0.0977567567567567,0.6206896551724138,58,0.10441860790132393,0.04970817927391646,0.5517241379310345,58,0.13370954842074156,0.08812463256907696,0.603448275862069,58,0.09554774550280094,0.04043504850458018,0.5517241379310345,42,0.21596056213835205,0.13440809454122016,0.5952380952380952,42,0.09474777931931852,-0.01824857814347891,0.5,41,0.20926611874561435,0.1552162849872773,0.6585365853658537,41,0.09210628781567262,-0.03383731586543548,0.4634146341463415,41,0.19637675243938985,0.1321695760598504,0.6097560975609756,41,0.08147436637890244,-0.0180719652408117,0.4634146341463415,0.04809203404682149,0.3,0.2,0.05,0.05
regime_close_gt_ma120,False,c1_c2,47,47,-0.05383082713965513,-0.0454545454545455,0.425531914893617,47,-0.032759094179673376,-0.01922252148759207,0.425531914893617,47,-0.05999309434599555,-0.0480591497227357,0.3829787234042553,47,-0.04090513351547328,-0.0025213081040454527,0.46808510638297873,47,-0.06119032517757006,-0.0441176470588234,0.40425531914893614,47,-0.04141457856661204,-0.003251391694498715,0.48936170212765956,47,0.005939551317736014,0.0049999999999998,0.5319148936170213,47,0.009700331144399414,0.002587600306474775,0.5106382978723404,47,0.010300842971250059,-0.021311475409836,0.48936170212765956,47,0.01661332042881842,-0.009547974006441425,0.425531914893617,47,0.009578769327837796,-0.0166666666666667,0.46808510638297873,47,0.016570776022850724,-0.01738094455432169,0.425531914893617,0.03551175604002977,0.0851063829787234,0.0851063829787234,0.0,0.2978723404255319
regime_close_gt_ma120,False,c1_c2_c3,28,28,-0.057019753780430026,-0.04754996776273375,0.42857142857142855,28,-0.038421699053844356,-0.04276601979497341,0.39285714285714285,28,-0.061790265979713786,-0.053824733148146245,0.39285714285714285,28,-0.04295079167363488,-0.036734961495771365,0.39285714285714285,28,-0.06932587614337189,-0.062191291742725203,0.39285714285714285,28,-0.049690220697124164,-0.030999592193590456,0.4642857142857143,28,0.021482136717732414,-0.0936429425043155,0.4642857142857143,28,0.034790529449867894,-0.0771368311934807,0.4642857142857143,28,0.03267533046775109,-0.05335279627771185,0.42857142857142855,28,0.05181346810064639,-0.04089400835240541,0.4642857142857143,28,0.025095137599821453,-0.07578260869565215,0.39285714285714285,28,0.04502765289806985,-0.03353267762224055,0.39285714285714285,0.040281869737540325,0.14285714285714285,0.10714285714285714,0.0,0.21428571428571427
regime_close_gt_ma120,False,magic26_v0,13,13,-0.0460924125109413,-0.049645390070922,0.38461538461538464,13,-0.03599059166180522,-0.0710920445608009,0.3076923076923077,13,-0.06196159464980681,-0.0480591497227357,0.3076923076923077,13,-0.044490300525880294,-0.058009169607037586,0.38461538461538464,13,-0.0643731796887569,-0.066546762589928,0.38461538461538464,13,-0.04685545794662855,-0.07180727459368019,0.46153846153846156,13,0.03755557864513051,-0.1514018691588785,0.3076923076923077,13,0.06003957785647826,-0.08995415071367552,0.3076923076923077,13,0.0316243717792642,-0.1098484848484847,0.3076923076923077,13,0.06519657997016097,-0.09142489311039892,0.3076923076923077,13,0.03141181908234409,-0.1546762589928058,0.3076923076923077,13,0.06512604425945581,-0.10882358792373559,0.3076923076923077,0.04050455908440536,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385
