signal,signals,n_raw_20d,avg_raw_20d,median_raw_20d,win_raw_20d,n_excess_20d,avg_excess_20d,median_excess_20d,win_excess_20d,n_t1_20d,avg_t1_20d,median_t1_20d,win_t1_20d,n_t1_excess_20d,avg_t1_excess_20d,median_t1_excess_20d,win_t1_excess_20d,n_t1_open_20d,avg_t1_open_20d,median_t1_open_20d,win_t1_open_20d,n_t1_open_excess_20d,avg_t1_open_excess_20d,median_t1_open_excess_20d,win_t1_open_excess_20d,n_raw_60d,avg_raw_60d,median_raw_60d,win_raw_60d,n_excess_60d,avg_excess_60d,median_excess_60d,win_excess_60d,n_t1_60d,avg_t1_60d,median_t1_60d,win_t1_60d,n_t1_excess_60d,avg_t1_excess_60d,median_t1_excess_60d,win_t1_excess_60d,n_t1_open_60d,avg_t1_open_60d,median_t1_open_60d,win_t1_open_60d,n_t1_open_excess_60d,avg_t1_open_excess_60d,median_t1_open_excess_60d,win_t1_open_excess_60d,avg_signal_day_ret_1d,pct_signal_day_gt9,pct_next_gap_gt3,pct_next_gap_lt_minus3,pct_low_liquidity_lt100m
c1_c2,450,427,0.06729345537053143,0.0160771688493943,0.5480093676814989,427,0.040934245522915344,-0.0016760439457115459,0.49414519906323184,426,0.0655172461237445,0.011601529189118,0.539906103286385,426,0.038444617898066046,-0.0037137747185493307,0.4835680751173709,426,0.06234177061963045,0.0128985939960484,0.5469483568075117,426,0.0351356353470303,-0.0042969800898190295,0.4859154929577465,381,0.14223158123883706,0.0395341175761694,0.5826771653543307,381,0.07168423933192065,-0.016263392184200618,0.47244094488188976,380,0.13741573126050907,0.03545419341657135,0.5736842105263158,380,0.06545181818059595,-0.028424258127010046,0.4368421052631579,380,0.13324339171062335,0.029029129059952398,0.5815789473684211,380,0.06217156465981831,-0.020913372495570237,0.4394736842105263,0.04110206977058439,0.21333333333333335,0.14,0.04,0.3377777777777778
c1_c2_c3_xq,222,205,0.08734762445169374,0.0179372221762563,0.5365853658536586,205,0.05524794034293469,-0.004886073091458609,0.48292682926829267,204,0.08613347559863402,0.0088407348263295,0.5147058823529411,204,0.054649154539612436,-0.008139959572050572,0.47549019607843135,204,0.08090240921023666,0.0174788520214497,0.5294117647058824,204,0.04906356830142411,-0.007487520500785088,0.47058823529411764,169,0.19882846817642144,0.0605095541401274,0.5621301775147929,169,0.1156142117734856,-0.02401339624735352,0.47928994082840237,168,0.1918118973860956,0.04272453143812585,0.5595238095238095,168,0.10776772422396863,-0.04367872800681512,0.4523809523809524,168,0.18252287825999178,0.040073004971779305,0.5535714285714286,168,0.09980301474115433,-0.03104510488265382,0.4583333333333333,0.05442247443114521,0.33783783783783783,0.21171171171171171,0.04504504504504504,0.26126126126126126
magic26_v0,92,89,0.11483695626072019,0.061151058683275,0.5730337078651685,89,0.08052904225704685,0.023088462953606947,0.5617977528089888,88,0.11162742384077949,0.05821819903821175,0.5681818181818182,88,0.08040127146832633,0.02246370392858549,0.5340909090909091,88,0.10683274319349706,0.022373629820628897,0.5795454545454546,88,0.07535055628005928,0.023324841098625294,0.5340909090909091,68,0.15123011797556507,-0.0128707680681759,0.4852941176470588,68,0.08047919284350269,-0.05062480421103266,0.4411764705882353,68,0.1502394749113703,0.03391643503433865,0.5294117647058824,68,0.07927869398858321,-0.05583827773098669,0.4264705882352941,68,0.14110336556653585,-0.0005753452440039502,0.5,68,0.07158038359023183,-0.06586635259106453,0.4264705882352941,0.046128787665413416,0.2391304347826087,0.14130434782608695,0.03260869565217391,0.13043478260869565
magic26_v0_quality,81,79,0.11342053032293332,0.061151058683275,0.569620253164557,79,0.07732788979421068,0.018264236778701953,0.5569620253164557,78,0.11029938418278323,0.0771988771636905,0.5641025641025641,78,0.07833324633060873,0.028268141646208368,0.5384615384615384,78,0.1048025955520688,0.022373629820628897,0.5769230769230769,78,0.0724315938978395,0.023324841098625294,0.5256410256410257,60,0.1700621944453438,-0.00323104022499935,0.5,60,0.08980695690371394,-0.05062480421103266,0.45,60,0.16493169372544417,0.04564437999287145,0.55,60,0.084090751761446,-0.05583827773098669,0.43333333333333335,60,0.156893166114832,0.0129934253764647,0.5166666666666667,60,0.07760664676190439,-0.06586635259106453,0.43333333333333335,0.04618370254556555,0.24691358024691357,0.14814814814814814,0.037037037037037035,0.06172839506172839
