group,label,trades,retention,median_return_60d,median_excess_60d,win_excess_60d,right_tail_50pct_60d,right_tail_100pct_60d,bad_loss_minus20pct_60d,pf_excess_60d,median_ret20,median_ret60_signal,median_top1_top3,median_top1_top5,median_top1_top10,median_days_since_max_volume,median_range_pos,median_avg_amount_20d
baseline,adj: baseline,30,1.0,0.12127959311197475,0.0503575117108417,0.5666666666666667,0.23333333333333334,0.13333333333333333,0.13333333333333333,2.9747024949364818,0.2650423766306832,0.4487048087902837,1.2036434233231057,1.4379512092359414,2.083369583686207,50.0,1.0,537080870.125
top10_gap,adj: top1/top10 < 2,14,0.4666666666666667,0.3848320863577402,0.39740510052160627,0.7142857142857143,0.42857142857142855,0.21428571428571427,0.14285714285714285,6.163747273974698,0.2492633556722606,0.33743946731234864,1.155600992170418,1.3700211562450566,1.757416209414869,48.5,1.0,1345895847.275
top10_gap_flagged,adj: flagged top1/top10 >= 2,16,0.5333333333333333,0.066544799738077,-0.056466205961561405,0.4375,0.0625,0.0625,0.125,1.1782384601751792,0.271584588276062,0.5990854693830189,1.3001556283093485,1.5985428868583447,2.274158618271826,51.0,1.0,378907042.0
top3_ok,adj: flagged + top3<1.5,14,0.4666666666666667,0.020394458275801,-0.10053653488123075,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.14285714285714285,1.111136637186832,0.27561543590338666,0.6661408880067359,1.2815887178540475,1.5743263646151262,2.274158618271826,48.5,1.0,342444119.67499995
top5_ok,adj: flagged + top5<2,16,0.5333333333333333,0.066544799738077,-0.056466205961561405,0.4375,0.0625,0.0625,0.125,1.1782384601751792,0.271584588276062,0.5990854693830189,1.3001556283093485,1.5985428868583447,2.274158618271826,51.0,1.0,378907042.0
ret20_cool,adj: flagged + ret20<25%,6,0.2,0.1574032159104271,0.05956186051235225,0.6666666666666666,0.0,0.0,0.16666666666666666,2.3136529106787114,0.1713762419453012,0.34711563743827156,1.406572333546235,1.6854936709488215,2.4725907587260347,93.5,0.9902742541900356,292636470.375
ret60_not_hot,adj: flagged + ret60<=80%,12,0.4,0.1574032159104271,0.02516896465925235,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333,3.4838693067545394,0.2468891408611098,0.4487048087902837,1.3709456698449782,1.6679246907787615,2.274158618271826,77.0,1.0,378907042.0
not_high_range,adj: flagged + range_pos<80%,0,0.0,,,,,,,,,,,,,,,
mid_volume_age,adj: flagged + maxVol 20-90d,9,0.3,0.0876350540216086,-0.0308603114082509,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.6966039934679251,0.2988505763122191,0.7488372307133779,1.289905115008415,1.471596275965375,2.294128580652656,46.0,1.0,426779687.75
liquid,adj: flagged + amount>=10億,3,0.1,0.1321695760598504,0.0315145584472277,0.6666666666666666,0.0,0.0,0.0,1.7009208764072592,0.2988505763122191,0.408099691352239,1.4319719669356168,1.703564413698234,2.0979134450245644,63.0,1.0,2192265214.0
rescue_combo,adj: rescue candidate top10<2.2 + top3<1.5 + ret60<=80%,4,0.13333333333333333,0.25840700057864896,0.15612246079246625,0.5,0.25,0.25,0.0,6.5033367666951705,0.3456278198016792,0.5495556643769692,1.360938540972016,1.5388179447056771,2.098497389299617,79.5,1.0,379751915.125
danger_combo,adj: danger candidate top10>=2.5 or ret60>80%,6,0.2,-0.1753068306344581,-0.2310467761651608,0.16666666666666666,0.0,0.0,0.3333333333333333,0.34644751714847843,0.288604811287404,0.8400199600798403,1.2151461951720581,1.468399033709817,2.883572500505095,46.5,1.0,144374845.625
baseline,raw: baseline,36,1.0,0.14726262430774725,0.10944659031411355,0.6111111111111112,0.2222222222222222,0.08333333333333333,0.1388888888888889,3.160895437800742,0.2555040248918643,0.44025442027982875,1.1909266600235853,1.4108130295277426,2.0253915715382855,50.0,1.0,537080870.125
top10_gap,raw: top1/top10 < 2,18,0.5,0.3698921216083688,0.38672798760578553,0.7777777777777778,0.3888888888888889,0.16666666666666666,0.1111111111111111,7.416764099985738,0.23549429488322335,0.33743946731234864,1.1667626306430399,1.3653097631544289,1.757416209414869,50.5,1.0,1345895847.275
top10_gap_flagged,raw: flagged top1/top10 >= 2,18,0.5,0.066544799738077,-0.068435780870495,0.4444444444444444,0.05555555555555555,0.0,0.16666666666666666,1.0484943568925067,0.26678709072723084,0.5888585607940447,1.2815887178540475,1.5743263646151262,2.274158618271826,48.5,1.0,378907042.0
top3_ok,raw: flagged + top3<1.5,16,0.4444444444444444,0.0203944577972572,-0.10053653381157565,0.375,0.0625,0.0,0.1875,0.989370252779333,0.2715845910702255,0.647944018065409,1.272683978445984,1.5484596763830676,2.274158618271826,46.5,1.0,342444119.67499995
top5_ok,raw: flagged + top5<2,18,0.5,0.066544799738077,-0.068435780870495,0.4444444444444444,0.05555555555555555,0.0,0.16666666666666666,1.0484943568925067,0.26678709072723084,0.5888585607940447,1.2815887178540475,1.5743263646151262,2.274158618271826,48.5,1.0,378907042.0
ret20_cool,raw: flagged + ret20<25%,7,0.19444444444444445,0.1463109629012089,0.0876091625774768,0.7142857142857143,0.0,0.0,0.14285714285714285,2.2382049075251422,0.1794871794871795,0.330110497237569,1.359519734432806,1.632284967859289,2.4940740679330844,91.0,1.0,282058960.35
ret60_not_hot,raw: flagged + ret60<=80%,13,0.3611111111111111,0.1463109629012089,0.0315145584472277,0.6153846153846154,0.07692307692307693,0.0,0.07692307692307693,3.1510392021098417,0.2334096109839816,0.4080996884735202,1.359519734432806,1.632284967859289,2.294128580652656,63.0,1.0,376139825.05
not_high_range,raw: flagged + range_pos<80%,0,0.0,,,,,,,,,,,,,,,
mid_volume_age,raw: flagged + maxVol 20-90d,11,0.3055555555555556,0.0876350540216086,-0.0547994612261181,0.45454545454545453,0.09090909090909091,0.0,0.18181818181818182,1.4680652647435781,0.2734530938123751,0.7360544217687075,1.27327232069968,1.471596275965375,2.294128580652656,42.0,1.0,426779687.75
liquid,raw: flagged + amount>=10億,4,0.1111111111111111,0.1099023150407295,-0.0689997559395839,0.5,0.0,0.0,0.25,0.9831800255380273,0.28135433391951475,0.6274031376499337,1.3526221438176484,1.6217064463485413,2.0955205022028895,52.5,1.0,2194799666.975
rescue_combo,raw: rescue candidate top10<2.2 + top3<1.5 + ret60<=80%,4,0.1111111111111111,0.2518939393939393,0.1496093996077566,0.5,0.25,0.0,0.0,6.218006991782866,0.3456278190018915,0.5229084050308048,1.360938540972016,1.5388179447056771,2.098497389299617,79.5,1.0,379751915.125
danger_combo,raw: danger candidate top10>=2.5 or ret60>80%,8,0.2222222222222222,-0.1753068327532516,-0.2306240549810769,0.25,0.0,0.0,0.375,0.3701185604049263,0.26678709072723084,0.8400199600798403,1.1484806092520992,1.468399033709817,2.675219203912114,44.0,1.0,144374845.625
