price_mode,candidate,exit_rule,trades,avg_return,median_return,win_return,avg_excess,median_excess,win_excess,avg_hold_days,median_hold_days,pct_exit_before_20d,pct_reason_close_below_ma10,pct_reason_fixed20,pct_reason_close_below_ma5,pct_reason_close_sl8,pct_reason_delayed3_close_below_ma10,pct_reason_delayed3_close_below_ma5,pct_reason_delayed3_close_sl8
adj,candidate_a_repo50_c440_c5gt5,fixed20,46,0.2219921881389825,0.13601630965415812,0.6956521739130435,0.1709298715909219,0.09655873369142198,0.6521739130434783,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma5,46,0.10068446863528867,-0.014174113764080842,0.45652173913043476,0.08883322386469224,-0.022714287030616565,0.4782608695652174,7.260869565217392,5.0,1.0,,,,,,1.0,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma5,46,0.07668322605432806,-0.020884154178449965,0.3695652173913043,0.06791840769835585,-0.026509945611834673,0.41304347826086957,5.173913043478261,3.0,1.0,,,1.0,,,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma10,46,0.10401930415919455,-0.030573683206753854,0.43478260869565216,0.07799655758456042,-0.03692199890378278,0.41304347826086957,10.0,7.5,0.9130434782608695,,0.06521739130434782,,,0.9347826086956522,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_ma10_or_sl8,46,0.10519368695579143,-0.030573683206753854,0.43478260869565216,0.07910029471694814,-0.03692199890378278,0.41304347826086957,9.978260869565217,7.5,0.9130434782608695,,0.06521739130434782,,,0.6521739130434783,,0.2826086956521739
adj,candidate_a_repo50_c440_c5gt5,close_below_ma10,46,0.1038957953592384,-0.030573683206753854,0.43478260869565216,0.07795587853815135,-0.04195475655110531,0.41304347826086957,9.91304347826087,7.5,0.9130434782608695,0.9347826086956522,0.06521739130434782,,,,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_sl8,46,0.14745127065881922,-0.041265595607237415,0.4782608695652174,0.1124320081540363,-0.043559240074733774,0.45652173913043476,14.847826086956522,21.0,0.45652173913043476,,0.5434782608695652,,,,,0.45652173913043476
adj,candidate_a_repo50_c440_c5gt5,close_sl8,46,0.13473225081303278,-0.07957386368974162,0.43478260869565216,0.10159371960778103,-0.07005751876249,0.43478260869565216,13.021739130434783,17.5,0.5,,0.5,,0.5,,,
adj,candidate_b_magic_c440_c5gt5,fixed20,67,0.16557883298170792,0.10548522670124916,0.6567164179104478,0.12347279767417414,0.07425657546021935,0.5970149253731343,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma5,67,0.05628043572016474,-0.02181818366862065,0.3880597014925373,0.04779959359697182,-0.019808948279914862,0.3880597014925373,5.074626865671642,3.0,1.0,,,1.0,,,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma5,67,0.069815396505594,-0.017985611510791366,0.44776119402985076,0.05871676188144703,-0.027076722395543595,0.44776119402985076,6.8059701492537314,5.0,1.0,,,,,,1.0,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma10,67,0.07688682490287567,-0.02992125458276429,0.40298507462686567,0.057050951331646595,-0.0358960553629285,0.417910447761194,9.656716417910447,7.0,0.9402985074626866,,0.04477611940298507,,,0.9552238805970149,,
adj,candidate_b_magic_c440_c5gt5,delayed3_ma10_or_sl8,67,0.07786061234806356,-0.02992125458276429,0.40298507462686567,0.05768570568514422,-0.0358960553629285,0.417910447761194,9.537313432835822,7.0,0.9402985074626866,,0.04477611940298507,,,0.6567164179104478,,0.29850746268656714
adj,candidate_b_magic_c440_c5gt5,close_below_ma10,67,0.07680202781633862,-0.02992125458276429,0.40298507462686567,0.05702302243411202,-0.03661746143447164,0.417910447761194,9.597014925373134,7.0,0.9402985074626866,0.9552238805970149,0.04477611940298507,,,,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_sl8,67,0.11806963306041476,-0.029315956297537027,0.4925373134328358,0.08930771656798847,-0.04139974116770295,0.44776119402985076,14.940298507462687,21.0,0.43283582089552236,,0.5671641791044776,,,,,0.43283582089552236
adj,candidate_b_magic_c440_c5gt5,close_sl8,67,0.11019272523151272,-0.043137251820535405,0.4626865671641791,0.08363336382043036,-0.0578209166036977,0.43283582089552236,13.611940298507463,21.0,0.4626865671641791,,0.5373134328358209,,0.4626865671641791,,,
adj,candidate_c_high_concentration_c425_c5gt5,fixed20,37,0.20349854257581396,0.1536144572736129,0.6756756756756757,0.15081579259451497,0.12078247869172043,0.6486486486486487,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_c_high_concentration_c425_c5gt5,delayed3_close_sl8,37,0.14341205983191166,0.0857142760581664,0.5405405405405406,0.1059102863713076,0.030326205691702635,0.5135135135135135,15.378378378378379,21.0,0.40540540540540543,,0.5945945945945946,,,,,0.40540540540540543
adj,candidate_c_high_concentration_c425_c5gt5,close_sl8,37,0.12971620902373135,0.016018310103505407,0.5135135135135135,0.09642019996632317,-0.0016124217763870963,0.4864864864864865,14.108108108108109,21.0,0.43243243243243246,,0.5675675675675675,,0.43243243243243246,,,
adj,candidate_c_high_concentration_c425_c5gt5,delayed3_close_below_ma5,37,0.09273954040776362,0.0046511627906977715,0.5135135135135135,0.07549677222562391,-0.010982358202818565,0.4594594594594595,7.027027027027027,5.0,1.0,,,,,,1.0,
adj,candidate_c_high_concentration_c425_c5gt5,close_below_ma5,37,0.07313417558066086,-0.01689189556592463,0.43243243243243246,0.05926573493347268,-0.02570751327668519,0.40540540540540543,5.351351351351352,4.0,1.0,,,1.0,,,,
adj,candidate_c_high_concentration_c425_c5gt5,delayed3_close_below_ma10,37,0.10029448327862087,-0.020576132065434516,0.40540540540540543,0.07559630937339759,-0.0358960553629285,0.40540540540540543,9.513513513513514,7.0,0.972972972972973,,0.02702702702702703,,,0.972972972972973,,
adj,candidate_c_high_concentration_c425_c5gt5,delayed3_ma10_or_sl8,37,0.10029448327862087,-0.020576132065434516,0.40540540540540543,0.07559630937339759,-0.0358960553629285,0.40540540540540543,9.513513513513514,7.0,0.972972972972973,,0.02702702702702703,,,0.7297297297297297,,0.24324324324324326
adj,candidate_c_high_concentration_c425_c5gt5,close_below_ma10,37,0.10014093179759433,-0.020576132065434516,0.40540540540540543,0.07554573542380791,-0.0466829767291167,0.40540540540540543,9.405405405405405,7.0,0.972972972972973,0.972972972972973,0.02702702702702703,,,,,
raw,candidate_a_repo50_c440_c5gt5,fixed20,50,0.2191934630237005,0.1645082582582582,0.72,0.17760865718567506,0.117596591558639,0.7,21.0,21.0,0.0,,1.0,,,,,
raw,candidate_a_repo50_c440_c5gt5,delayed3_close_sl8,50,0.1535356220075049,0.08511593118922967,0.54,0.12458044250504381,0.038076588314472026,0.52,15.64,21.0,0.4,,0.6,,,,,0.4
raw,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma5,50,0.0986135032045894,0.009431041380390082,0.52,0.0881030040342819,0.009656925880596134,0.54,7.26,5.0,1.0,,,,,,1.0,
raw,candidate_a_repo50_c440_c5gt5,close_sl8,50,0.14254005650704918,0.022561818635117137,0.5,0.1153151498001568,-0.0022158154496950133,0.5,13.96,21.0,0.44,,0.56,,0.44,,,
raw,candidate_a_repo50_c440_c5gt5,close_below_ma5,50,0.07324251184052874,-0.019778983912767112,0.4,0.06545600580715219,-0.014304696447685339,0.46,5.24,3.0,1.0,,,1.0,,,,
