signal,signals,n_raw_20d,avg_raw_20d,median_raw_20d,win_raw_20d,n_excess_20d,avg_excess_20d,median_excess_20d,win_excess_20d,n_t1_20d,avg_t1_20d,median_t1_20d,win_t1_20d,n_t1_excess_20d,avg_t1_excess_20d,median_t1_excess_20d,win_t1_excess_20d,n_t1_open_20d,avg_t1_open_20d,median_t1_open_20d,win_t1_open_20d,n_t1_open_excess_20d,avg_t1_open_excess_20d,median_t1_open_excess_20d,win_t1_open_excess_20d,n_raw_60d,avg_raw_60d,median_raw_60d,win_raw_60d,n_excess_60d,avg_excess_60d,median_excess_60d,win_excess_60d,n_t1_60d,avg_t1_60d,median_t1_60d,win_t1_60d,n_t1_excess_60d,avg_t1_excess_60d,median_t1_excess_60d,win_t1_excess_60d,n_t1_open_60d,avg_t1_open_60d,median_t1_open_60d,win_t1_open_60d,n_t1_open_excess_60d,avg_t1_open_excess_60d,median_t1_open_excess_60d,win_t1_open_excess_60d,avg_signal_day_ret_1d,pct_signal_day_gt9,pct_next_gap_gt3,pct_next_gap_lt_minus3,pct_low_liquidity_lt100m
c1_c2,386,369,0.0677451759510632,0.015075376884422,0.5365853658536586,369,0.04148962655969631,-0.009629122941929899,0.4823848238482385,366,0.06564735514391289,0.0097357571214392,0.5191256830601093,366,0.039214125273615424,-0.008902518676482278,0.47540983606557374,366,0.0625497638037694,0.0109721356172589,0.546448087431694,366,0.03584116490074804,-0.003737930312938311,0.4890710382513661,323,0.15685187838807588,0.0480769230769231,0.5789473684210527,323,0.08467501686102095,-0.0039591415251372854,0.4953560371517028,322,0.1528936075218561,0.04178407034504535,0.577639751552795,322,0.07846253238732337,-0.02299140535697024,0.453416149068323,322,0.14860972980459727,0.037680726475495044,0.5745341614906833,322,0.074807287423288,-0.017663486047581542,0.453416149068323,0.043418710644116947,0.22797927461139897,0.15025906735751296,0.04922279792746114,0.3238341968911917
c1_c2_c3_xq,209,195,0.08094628694224903,0.0317002881844379,0.5384615384615384,195,0.050733914398644706,-0.007197429193448256,0.47692307692307695,194,0.0795536406771844,0.0282356683008149,0.520618556701031,194,0.05041731379135987,-0.005582095265279358,0.4793814432989691,194,0.07420458377916916,0.0218883081687959,0.5360824742268041,194,0.044971246177272765,-0.006379880512672558,0.4793814432989691,160,0.1934385718323913,0.06748805076916894,0.58125,160,0.11093425872499715,-0.01752777217789719,0.49375,160,0.18639916481134064,0.0429405438623444,0.58125,160,0.10119110832448479,-0.03523369184583492,0.4625,160,0.17677063158674738,0.04123701386475105,0.56875,160,0.09286918943370359,-0.023756366557079828,0.45625,0.05367131210384552,0.33014354066985646,0.21052631578947367,0.05263157894736842,0.2631578947368421
magic26_v0,89,87,0.11726197201678605,0.0663716814159292,0.5862068965517241,87,0.08762479228317616,0.04257710732710854,0.5632183908045977,87,0.11119758196652103,0.0837070254110612,0.5862068965517241,87,0.08520428212942999,0.03521025011899562,0.5517241379310345,87,0.10682153525192357,0.0755441741357234,0.5862068965517241,87,0.08057675491849564,0.02467192375075289,0.5517241379310345,68,0.17117660481933647,0.11507069884512885,0.5294117647058824,68,0.10085162622170626,-0.024342203081319538,0.4852941176470588,68,0.16596696422655788,0.06908183413777966,0.5882352941176471,68,0.09547395720739468,-0.03523369184583492,0.45588235294117646,68,0.15826243428854833,0.066544799738077,0.5441176470588235,68,0.08901787320468064,-0.033595646472225696,0.45588235294117646,0.046119022689768724,0.25842696629213485,0.14606741573033707,0.033707865168539325,0.16853932584269662
magic26_v0_quality,76,74,0.10248164949452129,0.048089591567852405,0.5540540540540541,74,0.07134898644663491,0.00948570686571466,0.527027027027027,74,0.0988419657264963,0.07470524705247056,0.5540540540540541,74,0.07197807150052332,0.02112528691665492,0.5135135135135135,74,0.0909894001271778,0.0222121334409469,0.5540540540540541,74,0.06411083269712727,0.003978327750966791,0.5,57,0.17169986091920708,0.0047021943573668,0.5087719298245614,57,0.08667134584549548,-0.08214888892229233,0.45614035087719296,57,0.16370729122830133,0.0494233937397035,0.5614035087719298,57,0.07769713847757416,-0.08113570312394139,0.42105263157894735,57,0.15357304746829833,0.0224719101123596,0.5263157894736842,57,0.06952308935476234,-0.08207210051487192,0.42105263157894735,0.0471486279558063,0.27631578947368424,0.17105263157894737,0.039473684210526314,0.07894736842105263
