date,stock_id,stock_name,industry_category,price_mode,ret_20d,ret_60d_signal,top1_to_top10_volume_ratio,risk_long_ma_score,t1_open_fwd_60d,t1_open_excess_60d,fixed20_ret,t1_open_excess_20d,flag_ret60_gt150,flag_volgap_top10_ge2,flag_long_ma_bear,flag_any_round20
2024-05-03,6419,京晨科,光電業,adj,0.3925925903910003,0.7488372307133779,2.0990813335746696,0,1.0189109510412306,0.9133288652786744,0.9410977210472292,0.8894878420445046,False,True,False,True
2024-05-03,6419,京晨科,光電業,raw,0.3925925925925926,0.7488372093023257,2.0990813335746696,0,0.9745649263721552,0.868982840609599,0.9410977242302544,0.8894878452275298,False,True,False,True
2025-06-10,5439,高技,電子零組件業,adj,0.2988505763122191,0.408099691352239,2.0979134450245644,0,0.4713594557027525,0.3943170220998044,0.1273148185991754,0.1205827168328924,False,True,False,True
2025-06-10,5439,高技,電子零組件業,raw,0.2988505747126437,0.4080996884735202,2.0979134450245644,0,0.4583333333333332,0.3812908997303851,0.1273148148148148,0.1205827130485318,False,True,False,True
2026-03-19,8155,博智,電子零組件業,raw,0.2334096109839816,0.54,2.451107449518985,0,0.4481546572934973,0.0876091625774768,0.3919156414762741,0.2766938952348168,False,True,False,True
2026-03-19,8155,博智,電子零組件業,adj,0.2334096109839816,0.54,2.451107449518985,0,0.4481546572934973,0.0876091625774768,0.3919156414762741,0.2766938952348168,False,True,False,True
2026-02-25,4722,國精化,化學工業,raw,0.2777777777777777,0.2897196261682242,2.2541886558909963,0,0.2669789227166277,0.018823370871277,-0.1920374707259953,-0.1258976468905357,False,True,False,True
2026-02-25,4722,國精化,化學工業,adj,0.2777777777777777,0.2897196261682242,2.2541886558909963,0,0.2669789227166277,0.018823370871277,-0.1920374707259953,-0.1258976468905357,False,True,False,True
2023-04-13,4169,泰宗,生技醫療業,raw,0.1402805611222444,0.8034865293185418,3.2451618159978763,0,0.2323629219503482,0.1624901748951423,-0.0462582604036435,-0.0223403834936666,False,True,False,True
2023-04-13,4169,泰宗,生技醫療業,adj,0.1402805611222444,0.8034865293185418,3.2451618159978763,0,0.2323629219503482,0.1624901748951423,-0.0462582604036435,-0.0223403834936666,False,True,False,True
