signal,raw_signals,adj_signals,raw_avg_20d,adj_avg_20d,raw_median_20d,adj_median_20d,raw_win_20d,adj_win_20d,raw_avg_60d,adj_avg_60d,raw_median_60d,adj_median_60d,raw_win_60d,adj_win_60d,raw_pct_signal_day_gt9,adj_pct_signal_day_gt9,raw_pct_next_gap_gt3,adj_pct_next_gap_gt3,avg_raw_adj_median_20d,avg_raw_adj_win_20d,min_raw_adj_signals,rank_score
magic_repo60_c425_c5gt8_regime,20.0,18.0,0.23784218214629757,0.24690073937290832,0.2008921251905897,0.2008921251905897,0.7368421052631579,0.7058823529411765,0.21836097846729993,0.21697247970858666,0.1452419039592731,0.0797322693451404,0.6153846153846154,0.5,0.15,0.16666666666666666,0.0,0.0,0.2008921251905897,0.7213622291021672,18.0,0.24966457101102313
magic_repo60_c425_c5gt3_regime,20.0,18.0,0.23784218214629757,0.24690073937290832,0.2008921251905897,0.2008921251905897,0.7368421052631579,0.7058823529411765,0.21836097846729993,0.21697247970858666,0.1452419039592731,0.0797322693451404,0.6153846153846154,0.5,0.15,0.16666666666666666,0.0,0.0,0.2008921251905897,0.7213622291021672,18.0,0.24966457101102313
magic_repo60_c425_c5gt5_regime,20.0,18.0,0.23784218214629757,0.24690073937290832,0.2008921251905897,0.2008921251905897,0.7368421052631579,0.7058823529411765,0.21836097846729993,0.21697247970858666,0.1452419039592731,0.0797322693451404,0.6153846153846154,0.5,0.15,0.16666666666666666,0.0,0.0,0.2008921251905897,0.7213622291021672,18.0,0.24966457101102313
magic_repo50_c425_c5gt5_regime,29.0,26.0,0.20647124900801256,0.21280673899973399,0.1687216839924045,0.16558895720761685,0.7407407407407407,0.7083333333333334,0.17899926441623953,0.1669113499125371,0.1312840180507503,0.0315145584472277,0.6470588235294118,0.5384615384615384,0.13793103448275862,0.15384615384615385,0.06896551724137931,0.07692307692307693,0.16715532060001068,0.724537037037037,26.0,0.21856272800741808
magic_repo50_c425_c5gt8_regime,29.0,26.0,0.20647124900801256,0.21280673899973399,0.1687216839924045,0.16558895720761685,0.7407407407407407,0.7083333333333334,0.17899926441623953,0.1669113499125371,0.1312840180507503,0.0315145584472277,0.6470588235294118,0.5384615384615384,0.13793103448275862,0.15384615384615385,0.06896551724137931,0.07692307692307693,0.16715532060001068,0.724537037037037,26.0,0.21856272800741808
magic_repo50_c425_c5gt3_regime,30.0,27.0,0.19275450199847885,0.19719056155161646,0.1495076211940907,0.1302935583957769,0.7142857142857143,0.68,0.16499342795932598,0.1497672665724042,0.10944659031411355,0.012636254520019999,0.6111111111111112,0.5,0.13333333333333333,0.14814814814814814,0.06666666666666667,0.07407407407407407,0.1399005897949338,0.6971428571428572,27.0,0.18607916122350524
magic_repo40_c425_c5gt8_regime,35.0,33.0,0.17574710022523324,0.17590563865049968,0.1302935583957769,0.1207824786917203,0.696969696969697,0.6774193548387096,0.15201448680909393,0.12466833044479245,0.1312840180507503,0.012636254520019999,0.6190476190476191,0.5,0.14285714285714285,0.15151515151515152,0.05714285714285714,0.06060606060606061,0.1255380185437486,0.6871945259042034,33.0,0.17122692372458928
magic_repo40_c425_c5gt5_regime,35.0,33.0,0.17574710022523324,0.17590563865049968,0.1302935583957769,0.1207824786917203,0.696969696969697,0.6774193548387096,0.15201448680909393,0.12466833044479245,0.1312840180507503,0.012636254520019999,0.6190476190476191,0.5,0.14285714285714285,0.15151515151515152,0.05714285714285714,0.06060606060606061,0.1255380185437486,0.6871945259042034,33.0,0.17122692372458928
magic_c425_c5gt5_regime,41.0,39.0,0.15130896535321645,0.15081579259451494,0.1302935583957769,0.1207824786917203,0.6666666666666666,0.6486486486486487,0.15267723053827933,0.1354119738104738,0.1308303055087107,0.0876091625774768,0.6538461538461539,0.5652173913043478,0.14634146341463414,0.15384615384615385,0.07317073170731707,0.07692307692307693,0.1255380185437486,0.6576576576576576,39.0,0.16681955007528013
magic_c425_c5gt8_regime,41.0,39.0,0.15130896535321645,0.15081579259451494,0.1302935583957769,0.1207824786917203,0.6666666666666666,0.6486486486486487,0.15267723053827933,0.1354119738104738,0.1308303055087107,0.0876091625774768,0.6538461538461539,0.5652173913043478,0.14634146341463414,0.15384615384615385,0.07317073170731707,0.07692307692307693,0.1255380185437486,0.6576576576576576,39.0,0.16681955007528013
