price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2025,magic_c425_c5gt3_regime,6,6,0.006481014734117177,-0.034548583981297204,0.5,6,-0.03769586805666277,-0.09559127103382205,0.5,0.0,0.0
raw,2026,magic_c425_c5gt3_regime,18,16,0.2203912283388558,0.2035788432752588,0.8125,3,0.4627831832289502,0.4267191606423355,1.0,0.2777777777777778,0.16666666666666666
raw,2021,magic_repo40_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo40_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo40_c425_c5gt3_regime,9,9,0.26564342422152515,0.1687216839924045,0.7777777777777778,9,0.3039925109463964,0.2041720210847484,0.7777777777777778,0.1111111111111111,0.0
raw,2024,magic_repo40_c425_c5gt3_regime,5,5,-0.08625654214007353,-0.0925461711839033,0.2,5,-0.08282698902639392,-0.0731057918082048,0.2,0.0,0.0
raw,2025,magic_repo40_c425_c5gt3_regime,5,5,-0.043130912681978585,-0.1149241292437165,0.4,5,-0.11818975437793597,-0.2226971005148718,0.4,0.0,0.0
raw,2026,magic_repo40_c425_c5gt3_regime,17,15,0.2585468730860199,0.2062655613599279,0.8666666666666667,3,0.4627831832289502,0.4267191606423355,1.0,0.23529411764705882,0.11764705882352941
raw,2021,magic_repo50_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_repo50_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_repo50_c425_c5gt3_regime,9,9,0.26564342422152515,0.1687216839924045,0.7777777777777778,9,0.3039925109463964,0.2041720210847484,0.7777777777777778,0.1111111111111111,0.0
raw,2024,magic_repo50_c425_c5gt3_regime,3,3,-0.13616830840339775,-0.1383610867673587,0.0,3,-0.17789715134053793,-0.1190009671082794,0.0,0.0,0.0
raw,2025,magic_repo50_c425_c5gt3_regime,3,3,-0.09998323749520739,-0.1149241292437165,0.3333333333333333,3,-0.20690299697164552,-0.2226971005148718,0.3333333333333333,0.0,0.0
raw,2026,magic_repo50_c425_c5gt3_regime,15,13,0.2857530673584228,0.2062655613599279,0.9230769230769231,3,0.4627831832289502,0.4267191606423355,1.0,0.2,0.13333333333333333
