group,label,trades,retention,avg_return,median_return,win_return,pf_return,avg_excess,median_excess,win_excess,pf_excess,right_tail_20pct,right_tail_50pct,bad_loss_minus10pct,avg_ret60_signal,median_ret60_signal,mode,delta_median_excess,delta_win_excess,delta_right_tail_50pct
ret60_cap,adj: baseline,46,1.0,0.2219921881389825,0.13601630965415806,0.6956521739130435,6.970045088840218,0.17092987159092188,0.0965587336914219,0.6521739130434783,5.154352462469232,0.41304347826086957,0.1956521739130435,0.1956521739130435,0.512296330963459,0.37536430002998156,adj,0.0,0.0,0.0
ret60_cap,adj: ret60 <= 120%,45,0.9782608695652174,0.22494072158502731,0.1447178007091407,0.6888888888888889,6.917832726717703,0.17352123668129504,0.1044980811094051,0.6444444444444445,5.125652928083108,0.4222222222222222,0.2,0.2,0.4822413911143555,0.3556338028169015,adj,0.007939347417983203,-0.007729468599033784,0.004347826086956524
ret60_cap,adj: ret60 <= 150%,45,0.9782608695652174,0.22494072158502731,0.1447178007091407,0.6888888888888889,6.917832726717703,0.17352123668129504,0.1044980811094051,0.6444444444444445,5.125652928083108,0.4222222222222222,0.2,0.2,0.4822413911143555,0.3556338028169015,adj,0.007939347417983203,-0.007729468599033784,0.004347826086956524
ret60_cap,adj: ret60 <= 200%,46,1.0,0.2219921881389825,0.13601630965415806,0.6956521739130435,6.970045088840218,0.17092987159092188,0.0965587336914219,0.6521739130434783,5.154352462469232,0.41304347826086957,0.1956521739130435,0.1956521739130435,0.512296330963459,0.37536430002998156,adj,0.0,0.0,0.0
ret60_bucket,adj: ret60 <=120% only,45,0.9782608695652174,0.22494072158502731,0.1447178007091407,0.6888888888888889,6.917832726717703,0.17352123668129504,0.1044980811094051,0.6444444444444445,5.125652928083108,0.4222222222222222,0.2,0.2,0.4822413911143555,0.3556338028169015,adj,0.007939347417983203,-0.007729468599033784,0.004347826086956524
ret60_bucket,adj: 120%<ret60<=150%,0,0.0,,,,,,,,,,,,,,adj,,,
ret60_bucket,adj: 150%<ret60<=200%,1,0.021739130434782608,0.0893081830669648,0.0893081830669648,1.0,inf,0.0543184425241295,0.0543184425241295,1.0,inf,0.0,0.0,0.0,1.864768624173116,1.864768624173116,adj,-0.0422402911672924,0.34782608695652173,-0.1956521739130435
ret60_bucket,adj: ret60>200%,0,0.0,,,,,,,,,,,,,,adj,,,
ret60_cap,raw: baseline,50,1.0,0.21919346302370044,0.16450825825825816,0.72,7.135751901513859,0.177608657185675,0.11759659155863886,0.7,5.859141188892413,0.42,0.18,0.18,0.5413087437651032,0.3823927072446457,raw,0.0,0.0,0.0
ret60_cap,raw: ret60 <= 120%,47,0.94,0.22354337366311242,0.1831831831831831,0.7021276595744681,6.882065374747978,0.17882087902655686,0.1146104700687459,0.6808510638297872,5.598767637409143,0.425531914893617,0.19148936170212766,0.19148936170212766,0.4793673832138345,0.3556338028169015,raw,-0.002986121489892954,-0.019148936170212738,0.011489361702127665
ret60_cap,raw: ret60 <= 150%,49,0.98,0.22184418316498764,0.1831831831831831,0.7142857142857143,7.085752891162813,0.18012478415767258,0.1205827130485318,0.6938775510204082,5.829419558008268,0.42857142857142855,0.1836734693877551,0.1836734693877551,0.5142993572445129,0.36572438162544163,raw,0.00298612148989294,-0.006122448979591799,0.0036734693877551183
ret60_cap,raw: ret60 <= 200%,50,1.0,0.21919346302370044,0.16450825825825816,0.72,7.135751901513859,0.177608657185675,0.11759659155863886,0.7,5.859141188892413,0.42,0.18,0.18,0.5413087437651032,0.3823927072446457,raw,0.0,0.0,0.0
ret60_bucket,raw: ret60 <=120% only,47,0.94,0.22354337366311242,0.1831831831831831,0.7021276595744681,6.882065374747978,0.17882087902655686,0.1146104700687459,0.6808510638297872,5.598767637409143,0.425531914893617,0.19148936170212766,0.19148936170212766,0.4793673832138345,0.3556338028169015,raw,-0.002986121489892954,-0.019148936170212738,0.011489361702127665
ret60_bucket,raw: 120%<ret60<=150%,2,0.04,0.18191320645905415,0.18191320645905415,1.0,inf,0.21076655473889067,0.21076655473889067,1.0,inf,0.5,0.0,0.0,1.335200746965453,1.335200746965453,raw,0.09316996318025181,0.30000000000000004,-0.18
ret60_bucket,raw: 150%<ret60<=200%,1,0.02,0.0893081761006289,0.0893081761006289,1.0,inf,0.0543184355577936,0.0543184355577936,1.0,inf,0.0,0.0,0.0,1.8647686832740211,1.8647686832740211,raw,-0.06327815600084526,0.30000000000000004,-0.18
ret60_bucket,raw: ret60>200%,0,0.0,,,,,,,,,,,,,,raw,,,
