date,stock_id,stock_name,industry_category,price_mode,case_class_60d,ret_20d,ret_60d_signal,range_pos,days_since_max_volume,avg_amount_20d,signal_day_ret_1d,next_open_gap,top1_to_top3_volume_ratio,top1_to_top5_volume_ratio,top1_to_top10_volume_ratio,risk_long_ma_score,t1_open_fwd_60d,t1_open_excess_60d,fixed20_ret,t1_open_excess_20d,flag_top10_gap_ge2,is_flagged_right_tail,is_flagged_failure,rescue_pattern_tags
2024-05-03,6419,京晨科,光電業,adj,超級右尾>=100%,0.3925925903910003,0.7488372307133779,1.0,33.0,19210658.4,0.0666666595840972,-0.0066489345997936,1.289905115008415,1.3740714757131205,2.0990813335746696,0,1.0189109510412306,0.9133288652786744,0.9410977210472292,0.8894878420445046,True,True,False,top10斷層;top3不斷層;top5可接受;ret20偏熱;ret60未極熱;最大量距離適中;高位區間
2023-06-01,4979,華星光,通信網路業,adj,超級右尾>=100%,0.2011385161639252,0.3119170930049659,1.0,114.0,818449572.6,0.0989583295935709,0.0142180115688608,1.489430453383797,1.506673501915596,1.9935152753107828,0,1.4464680254518196,1.4346786154669482,0.9548286592570784,0.9175657243100284,False,False,False,top3不斷層;top5可接受;ret20未過熱;ret60未極熱;高位區間
2026-01-27,2486,一詮,電子工業,adj,超級右尾>=100%,0.3239875335932625,0.7346938789418971,1.0,26.0,1253263662.6,0.0991379284286047,0.0,1.174715866431836,1.4107006270176234,1.9139704174126464,0,1.180392160406384,0.8854106646507487,-0.0431372518205354,-0.0347578431657865,False,False,False,top3不斷層;top5可接受;ret60未極熱;最大量距離適中;高位區間;大型成交金額
2026-01-29,3163,波若威,通信網路業,adj,超級右尾>=100%,0.1856963613550815,1.1,1.0,104.0,2829417089.1,0.0128617363344052,0.0201058201058201,1.1902393224769745,1.4042621155960082,1.7964402995193711,0,1.1576763485477175,0.8740212264670382,0.5975103734439835,0.549633085659915,False,False,False,top3不斷層;top5可接受;ret20未過熱;高位區間;大型成交金額
2026-01-29,6291,沛亨,半導體業,adj,右尾>=50%,0.2506393874008594,0.8664122168836799,1.0,45.0,162327677.6,0.0988764041962904,-0.0020449894856281,1.1368113468211682,1.2120465099652946,1.728931242529541,0,0.9666796007307554,0.6830244786500761,0.1946721327373504,0.1467948449532818,False,False,False,top3不斷層;top5可接受;最大量距離適中;高位區間
2025-11-28,3163,波若威,通信網路業,adj,右尾>=50%,0.3195020746887966,0.3249999999999999,1.0,62.0,2414893502.15,0.0984455958549221,0.0471698113207548,1.1523925894865923,1.3606915639079125,1.7964402995193711,0,0.954954954954955,0.7946516250616538,0.1831831831831831,0.1458570276648222,False,False,False,top3不斷層;top5可接受;ret60未極熱;最大量距離適中;高位區間;大型成交金額
2026-01-22,6949,沛爾生醫-創,創新板股票,adj,右尾>=50%,0.2478873239436618,0.2205731892700992,0.8933422771443531,102.0,101078074.75,0.0230946882217089,0.002257336343115,1.18366718301887,1.5663500378924444,1.7930623802922008,0,0.7072072072072073,0.4267191606423355,0.3806306306306306,0.3479112143084514,False,False,False,top3不斷層;top5可接受;ret20未過熱;ret60未極熱
2025-06-10,5439,高技,電子零組件業,adj,小右尾20-50%,0.2988505763122191,0.408099691352239,1.0,63.0,2855552099.45,0.0610328616036908,-0.0442477884797755,1.4319719669356168,1.703564413698234,2.0979134450245644,0,0.4713594557027525,0.3943170220998044,0.1273148185991754,0.1205827168328924,True,False,False,top10斷層;top3不斷層;top5可接受;ret60未極熱;最大量距離適中;高位區間;大型成交金額
2026-03-19,8155,博智,電子零組件業,adj,小右尾20-50%,0.2334096109839816,0.54,1.0,103.0,376139825.05,0.1,0.0556586270871986,1.5657068355853407,1.9854451171753336,2.451107449518985,0,0.4481546572934973,0.0876091625774768,0.3919156414762741,0.2766938952348168,True,False,False,top10斷層;top5可接受;ret20未過熱;ret60未極熱;高位區間
2023-02-09,6472,保瑞,化學生技醫療,adj,小右尾20-50%,0.2738238843871523,0.7198697017325333,1.0,51.0,1909599378.3,0.027237352411175,0.0265151530086196,1.08223663845825,1.3016113967493892,1.5715390698784584,0,0.4428044287640089,0.452548895669104,-0.0405904068452421,-0.0235107137690735,False,False,False,top3不斷層;top5可接受;ret60未極熱;最大量距離適中;高位區間;大型成交金額
