signal,signals,n_raw_20d,avg_raw_20d,median_raw_20d,win_raw_20d,n_excess_20d,avg_excess_20d,median_excess_20d,win_excess_20d,n_t1_20d,avg_t1_20d,median_t1_20d,win_t1_20d,n_t1_excess_20d,avg_t1_excess_20d,median_t1_excess_20d,win_t1_excess_20d,n_t1_open_20d,avg_t1_open_20d,median_t1_open_20d,win_t1_open_20d,n_t1_open_excess_20d,avg_t1_open_excess_20d,median_t1_open_excess_20d,win_t1_open_excess_20d,n_raw_60d,avg_raw_60d,median_raw_60d,win_raw_60d,n_excess_60d,avg_excess_60d,median_excess_60d,win_excess_60d,n_t1_60d,avg_t1_60d,median_t1_60d,win_t1_60d,n_t1_excess_60d,avg_t1_excess_60d,median_t1_excess_60d,win_t1_excess_60d,n_t1_open_60d,avg_t1_open_60d,median_t1_open_60d,win_t1_open_60d,n_t1_open_excess_60d,avg_t1_open_excess_60d,median_t1_open_excess_60d,win_t1_open_excess_60d,avg_signal_day_ret_1d,pct_signal_day_gt9,pct_next_gap_gt3,pct_next_gap_lt_minus3,pct_low_liquidity_lt100m
c1_c2_c3,203,188,0.0906694150309298,0.0504014424712525,0.5691489361702128,188,0.05760768801053063,-0.0007992153887876018,0.5,187,0.09170507791062044,0.0450819672131146,0.5508021390374331,187,0.059658631875085986,0.002502003632389855,0.5026737967914439,187,0.08594352955647548,0.0337837837837837,0.5614973262032086,187,0.05401974704174305,-0.0016124252437369029,0.49732620320855614,156,0.20382178398414028,0.07912830159620696,0.5961538461538461,156,0.1266146504049051,0.00987158034080134,0.5128205128205128,156,0.19656372097644206,0.049573575322890404,0.5961538461538461,156,0.11708036144841384,-0.011519350216196898,0.48717948717948717,156,0.18783781959973575,0.051797040169133196,0.5897435897435898,156,0.10998262825998253,-0.010176303640451197,0.48717948717948717,0.05405920655096019,0.33497536945812806,0.22167487684729065,0.04926108374384237,0.27586206896551724
c1_c2_c3_repo_vol5,111,103,0.12105847338523475,0.0568335588633286,0.6019417475728155,103,0.0821672870146489,0.02315080050323234,0.5533980582524272,102,0.1201396557778848,0.07569307680654444,0.5588235294117647,102,0.083865633196605,0.039753411192199654,0.5490196078431373,102,0.11098589590684087,0.05636363636363625,0.5882352941176471,102,0.07483358953063629,0.03807658831447197,0.5490196078431373,81,0.223751744548817,0.1046511627906976,0.5679012345679012,81,0.13607845722516446,0.008228108350543967,0.5061728395061729,81,0.22625509960863888,0.0683962264150943,0.5802469135802469,81,0.1374465014960703,-0.0031367898015730866,0.49382716049382713,81,0.2141443075554949,0.0716332378223496,0.5555555555555556,81,0.12659532356490932,-0.006242049456020207,0.49382716049382713,0.05072949352653603,0.32432432432432434,0.22522522522522523,0.05405405405405406,0.17117117117117117
magic26_v0,93,89,0.12749650377627064,0.0805970149253731,0.6179775280898876,89,0.09568945271223901,0.04278512491863165,0.5842696629213483,88,0.12731205847611093,0.0907805346329936,0.6136363636363636,88,0.10040513385190107,0.04506835931249497,0.5795454545454546,88,0.12251833604390185,0.08511593118922965,0.6136363636363636,88,0.09586326460090348,0.04043504850458018,0.5795454545454546,70,0.1670755782138148,0.053534533122443904,0.5428571428571428,70,0.10612634557151288,0.0021344834127033406,0.5,70,0.1661468351643701,0.0665256994144437,0.6,70,0.10490908752349788,-0.00337986767524081,0.4857142857142857,70,0.15788091061766665,0.066544799738077,0.5571428571428572,70,0.09846329387961969,-0.006532386850231699,0.4857142857142857,0.04566443192150568,0.24731182795698925,0.15053763440860216,0.03225806451612903,0.1827956989247312
