price_mode,variant,trades,median_excess,avg_excess,win_excess,pf_excess,median_return,win_return,median_mae20,median_mfe20,pct_mae20_le_minus8,pct_mfe20_ge20,year
adj,baseline_0_40,9,0.0303262056917026,0.18826149662932284,0.5555555555555556,6.063286526640125,0.0211957222766141,0.5555555555555556,-0.1212814632189764,0.2053571338045308,0.6666666666666666,0.5555555555555556,2023
adj,baseline_0_40,6,-0.0840814453477518,0.09078935566694568,0.3333333333333333,2.3650134775246054,-0.0716450226880111,0.3333333333333333,-0.11327561336018,0.11802142952153555,0.6666666666666666,0.3333333333333333,2024
adj,baseline_0_40,8,0.0672231737772804,0.05641254016140079,0.625,2.2080432986634935,0.10147446916688854,0.75,-0.08862057960789779,0.20290387474853483,0.5,0.5,2025
adj,baseline_0_40,23,0.2008921251905897,0.22488626818372265,0.782608695652174,7.585882420847056,0.3209302325581395,0.8260869565217391,-0.1078838174273858,0.5390625004180178,0.5652173913043478,0.8260869565217391,2026
adj,floor15_15_40,8,0.0253729308455729,0.20800340799652536,0.5,5.9726618302989465,-0.009697342284314,0.5,-0.1260415750991949,0.18629814376221326,0.75,0.5,2023
adj,floor15_15_40,5,-0.078263568350498,0.1366194440541753,0.4,3.620151401758346,-0.0393939393939394,0.4,-0.101010101010101,0.1313131313131312,0.6,0.4,2024
adj,floor15_15_40,6,0.10460105155316554,0.13284616584299178,0.8333333333333334,29.6688260640384,0.11899721512483044,1.0,-0.07573198078179896,0.2510166026375502,0.3333333333333333,0.6666666666666666,2025
adj,floor15_15_40,20,0.2035788432752588,0.21608755686276124,0.75,6.502790186578308,0.34387336774977223,0.8,-0.10159815818502335,0.5534818674929596,0.55,0.8,2026
adj,excluded_ret20_0_15,1,0.0303262056917026,0.0303262056917026,1.0,inf,0.0857142760581664,1.0,-0.0482142877378106,0.2053571338045308,0.0,1.0,2023
adj,excluded_ret20_0_15,1,-0.1383610862692024,-0.1383610862692024,0.0,0.0,-0.1745362558256211,0.0,-0.2225969646043769,0.0084317035984817,1.0,0.0,2024
adj,excluded_ret20_0_15,2,-0.17288833688337216,-0.17288833688337216,0.0,0.0,-0.12386868686868685,0.0,-0.14153724747474739,0.0078125,1.0,0.0,2025
adj,excluded_ret20_0_15,3,0.2008843560194568,0.28354434365679876,1.0,inf,0.3209302325581395,1.0,-0.1367441860465116,0.3209302325581395,0.6666666666666666,1.0,2026
raw,baseline_0_40,15,0.1146104700687459,0.19317642544896169,0.7333333333333333,8.481547576209818,0.1054852320675105,0.7333333333333333,-0.0519031141868512,0.2363636363636363,0.4,0.6666666666666666,2023
raw,baseline_0_40,6,-0.08408144430476235,0.09078935570408946,0.3333333333333333,2.365013491786116,-0.07164502164502165,0.3333333333333333,-0.11327561327561325,0.11802143052143049,0.6666666666666666,0.3333333333333333,2024
raw,baseline_0_40,8,0.0672231737772804,0.056412539632038516,0.625,2.2080432873274938,0.10147446916688854,0.75,-0.08862058080808075,0.20290387474853483,0.5,0.5,2025
raw,baseline_0_40,21,0.2008921251905897,0.2374642869651657,0.8095238095238095,8.469477026545345,0.3209302325581395,0.8095238095238095,-0.1078838174273858,0.5679012345679013,0.5238095238095238,0.8571428571428571,2026
raw,floor15_15_40,11,0.1146104700687459,0.20991309027383248,0.6363636363636364,6.961811833969068,0.1054852320675105,0.6363636363636364,-0.0972727272727272,0.2363636363636363,0.5454545454545454,0.6363636363636364,2023
raw,floor15_15_40,5,-0.078263568350498,0.13661944419837907,0.4,3.620151449792904,-0.0393939393939394,0.4,-0.101010101010101,0.1313131313131312,0.6,0.4,2024
raw,floor15_15_40,6,0.10460104966098524,0.13284616513717543,0.8333333333333334,29.668825911719914,0.11899721323265014,1.0,-0.0757319819819819,0.2510166026375502,0.3333333333333333,0.6666666666666666,2025
raw,floor15_15_40,18,0.2035788432752588,0.2297842775165602,0.7777777777777778,7.19534380362772,0.34387336774977223,0.7777777777777778,-0.08727524204702619,0.5788944375086698,0.5,0.8333333333333334,2026
raw,excluded_ret20_0_15,4,0.1137899958041049,0.14715059718056694,1.0,inf,0.1374471394546249,1.0,-0.0297462406015037,0.2899871797987653,0.0,0.75,2023
raw,excluded_ret20_0_15,1,-0.1383610867673587,-0.1383610867673587,0.0,0.0,-0.1745362563237774,0.0,-0.2225969645868465,0.0084317032040472,1.0,0.0,2024
raw,excluded_ret20_0_15,2,-0.17288833688337216,-0.17288833688337216,0.0,0.0,-0.12386868686868685,0.0,-0.14153724747474739,0.0078125,1.0,0.0,2025
raw,excluded_ret20_0_15,3,0.2008843560194568,0.28354434365679876,1.0,inf,0.3209302325581395,1.0,-0.1367441860465116,0.3209302325581395,0.6666666666666666,1.0,2026
