signal,signals,n_raw_20d,avg_raw_20d,median_raw_20d,win_raw_20d,n_excess_20d,avg_excess_20d,median_excess_20d,win_excess_20d,n_t1_20d,avg_t1_20d,median_t1_20d,win_t1_20d,n_t1_excess_20d,avg_t1_excess_20d,median_t1_excess_20d,win_t1_excess_20d,n_t1_open_20d,avg_t1_open_20d,median_t1_open_20d,win_t1_open_20d,n_t1_open_excess_20d,avg_t1_open_excess_20d,median_t1_open_excess_20d,win_t1_open_excess_20d,n_raw_60d,avg_raw_60d,median_raw_60d,win_raw_60d,n_excess_60d,avg_excess_60d,median_excess_60d,win_excess_60d,n_t1_60d,avg_t1_60d,median_t1_60d,win_t1_60d,n_t1_excess_60d,avg_t1_excess_60d,median_t1_excess_60d,win_t1_excess_60d,n_t1_open_60d,avg_t1_open_60d,median_t1_open_60d,win_t1_open_60d,n_t1_open_excess_60d,avg_t1_open_excess_60d,median_t1_open_excess_60d,win_t1_open_excess_60d,avg_signal_day_ret_1d,pct_signal_day_gt9,pct_next_gap_gt3,pct_next_gap_lt_minus3,pct_low_liquidity_lt100m
c1_c2,383,365,0.06790285226718581,0.015075376884422,0.536986301369863,365,0.041815807000530995,-0.009629122941929899,0.4821917808219178,364,0.06500934954757201,0.0086213303604607,0.5164835164835165,364,0.03883245303694869,-0.010338438316085514,0.4725274725274725,364,0.06230823891172378,0.0109721356172589,0.5467032967032966,364,0.03578216194495569,-0.003737930312938311,0.489010989010989,321,0.15655496652101286,0.0480769230769231,0.5794392523364486,321,0.08325899452236891,-0.008492311440576827,0.49221183800623053,319,0.15212708878184322,0.0415973377703826,0.5768025078369906,319,0.07775884433022197,-0.023195476004616716,0.45141065830721006,319,0.1478851969462274,0.0362225097024579,0.5736677115987461,319,0.07412404385574647,-0.017946027540841396,0.45454545454545453,0.04351825900013838,0.2297650130548303,0.1514360313315927,0.04960835509138381,0.3185378590078329
c1_c2_c3,208,193,0.0807299922586273,0.0317002881844379,0.538860103626943,193,0.050679537862246465,-0.007197429193448256,0.47668393782383417,193,0.07895298497231136,0.0228013029315961,0.5181347150259067,193,0.04999015904933469,-0.007958229687345754,0.47668393782383417,193,0.0740066504494883,0.0219512195121951,0.538860103626943,193,0.044818057605840976,-0.006200527457441284,0.48186528497409326,160,0.19639045624826584,0.07883260248874245,0.5875,160,0.1111539040615516,-0.01752777217789719,0.49375,159,0.18983866044445902,0.0434782608695651,0.5849056603773585,159,0.10418345049931645,-0.03383731586543548,0.46540880503144655,159,0.18018681239170875,0.0423280423280423,0.5723270440251572,159,0.09577638263449731,-0.0180719652408117,0.4591194968553459,0.05375453110123179,0.3317307692307692,0.21153846153846154,0.052884615384615384,0.25961538461538464
magic26_v0,90,87,0.11726197201678605,0.0663716814159292,0.5862068965517241,87,0.08762479228317616,0.04257710732710854,0.5632183908045977,87,0.11119758196652103,0.0837070254110612,0.5862068965517241,87,0.08520428212942999,0.03521025011899562,0.5517241379310345,87,0.10682153525192357,0.0755441741357234,0.5862068965517241,87,0.08057675491849564,0.02467192375075289,0.5517241379310345,69,0.1699795609278586,0.0965909090909091,0.5362318840579711,69,0.09436822554509447,-0.04472526463750179,0.4782608695652174,68,0.16596696422655788,0.06908183413777966,0.5882352941176471,68,0.09547395720739468,-0.03523369184583492,0.45588235294117646,68,0.15826243428854833,0.066544799738077,0.5441176470588235,68,0.08901787320468064,-0.033595646472225696,0.45588235294117646,0.04671107331020271,0.26666666666666666,0.15555555555555556,0.03333333333333333,0.17777777777777778
magic26_v0_quality,76,74,0.10248164949452129,0.048089591567852405,0.5540540540540541,74,0.07134898644663491,0.00948570686571466,0.527027027027027,74,0.0988419657264963,0.07470524705247056,0.5540540540540541,74,0.07197807150052332,0.02112528691665492,0.5135135135135135,74,0.0909894001271778,0.0222121334409469,0.5540540540540541,74,0.06411083269712727,0.003978327750966791,0.5,58,0.17026676980520977,0.04664138533236535,0.5172413793103449,58,0.07920282228842647,-0.08605151981798392,0.4482758620689655,57,0.16370729122830133,0.0494233937397035,0.5614035087719298,57,0.07769713847757416,-0.08113570312394139,0.42105263157894735,57,0.15357304746829833,0.0224719101123596,0.5263157894736842,57,0.06952308935476234,-0.08207210051487192,0.42105263157894735,0.0471486279558063,0.27631578947368424,0.17105263157894737,0.039473684210526314,0.07894736842105263
