price_mode,candidate,exit_rule,year,trades,avg_return,median_return,win_return,avg_excess,median_excess,win_excess,avg_hold_days,median_hold_days,pct_exit_before_20d,pct_reason_close_below_ma10,pct_reason_fixed20,pct_reason_close_below_ma5,pct_reason_close_sl8,pct_reason_delayed3_close_below_ma10,pct_reason_delayed3_close_below_ma5,pct_reason_delayed3_close_sl8
adj,candidate_a_repo50_c440_c5gt5,close_below_ma10,2023,9,0.14928328578661296,-0.05290464990103416,0.3333333333333333,0.1421665809161149,-0.061389321118593076,0.3333333333333333,9.777777777777779,6.0,0.8888888888888888,0.8888888888888888,0.1111111111111111,,,,,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma10,2024,6,0.07527765141104074,-0.05564086755820852,0.16666666666666666,0.07034570290270947,-0.05624985404618954,0.3333333333333333,7.5,5.0,1.0,1.0,,,,,,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma10,2025,8,0.0727174078329176,0.026716522347590255,0.625,0.058945694376669605,0.012886711260900241,0.5,11.0,12.0,0.875,0.875,0.125,,,,,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma10,2026,23,0.10444573231808106,-0.0017361111235117965,0.4782608695652174,0.06142745269914414,-0.054345990296110536,0.43478260869565216,10.217391304347826,8.0,0.9130434782608695,0.9565217391304348,0.043478260869565216,,,,,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma5,2023,9,0.08402910138128877,-0.04154302023643652,0.2222222222222222,0.07578402036990912,-0.04436572246827375,0.2222222222222222,5.777777777777778,3.0,1.0,,,1.0,,,,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma5,2024,6,0.10732402084007113,-0.026627765964780448,0.16666666666666666,0.10404777958158458,-0.022043294679109482,0.3333333333333333,3.8333333333333335,2.5,1.0,,,1.0,,,,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma5,2025,8,-0.02207848798845044,-0.043534300416929905,0.25,-0.013623979125380034,-0.03293691170988833,0.375,3.875,2.5,1.0,,,1.0,,,,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma5,2026,23,0.10016740282324645,0.0046511627906977715,0.5217391304347826,0.08377807505690084,0.002421465544869994,0.5217391304347826,5.739130434782608,4.0,1.0,,,1.0,,,,
adj,candidate_a_repo50_c440_c5gt5,close_sl8,2023,9,0.1546384239310725,-0.0949554794750126,0.3333333333333333,0.14061164777270496,-0.07891034886397652,0.3333333333333333,11.666666666666666,10.0,0.5555555555555556,,0.4444444444444444,,0.5555555555555556,,,
adj,candidate_a_repo50_c440_c5gt5,close_sl8,2024,6,0.11195490703957466,-0.0618554859567883,0.3333333333333333,0.09955581405988416,-0.0728164722265206,0.3333333333333333,14.5,16.5,0.5,,0.5,,0.5,,,
adj,candidate_a_repo50_c440_c5gt5,close_sl8,2025,8,0.0859563461611699,0.10147446916688863,0.625,0.06364825253670112,0.06722317377728049,0.625,15.25,21.0,0.375,,0.625,,0.375,,,
adj,candidate_a_repo50_c440_c5gt5,close_sl8,2026,23,0.14985032654317595,-0.08372093023255811,0.43478260869565216,0.10005588553698554,-0.0700747470705454,0.43478260869565216,12.391304347826088,8.0,0.5217391304347826,,0.4782608695652174,,0.5217391304347826,,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma10,2023,9,0.14928328578661296,-0.05290464990103416,0.3333333333333333,0.1421665809161149,-0.061389321118593076,0.3333333333333333,9.777777777777779,6.0,0.8888888888888888,,0.1111111111111111,,,0.8888888888888888,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma10,2024,6,0.0741534242645765,-0.05564086755820852,0.16666666666666666,0.0702924558561559,-0.05633258364723004,0.3333333333333333,7.666666666666667,5.0,1.0,,,,,1.0,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma10,2025,8,0.07427075379251356,0.026716522347590255,0.625,0.059219534178436936,0.012886711260900241,0.5,11.375,12.0,0.875,,0.125,,,0.875,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma10,2026,23,0.10444573231808106,-0.0017361111235117965,0.4782608695652174,0.06142745269914414,-0.054345990296110536,0.43478260869565216,10.217391304347826,8.0,0.9130434782608695,,0.043478260869565216,,,0.9565217391304348,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma5,2023,9,0.09581886264684078,-0.060830854547150315,0.3333333333333333,0.0878662566102649,-0.053952990842576765,0.3333333333333333,7.666666666666667,4.0,1.0,,,,,,1.0,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma5,2024,6,0.09819508595133197,-0.02987421378832361,0.16666666666666666,0.09217100140616559,-0.039486657901260325,0.3333333333333333,6.666666666666667,4.0,1.0,,,,,,1.0,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma5,2025,8,0.04027214689484779,0.003941441246817168,0.5,0.037618558404283894,0.013720680488808035,0.5,7.25,5.5,1.0,,,,,,1.0,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma5,2026,23,0.1242507870667364,0.049056603773584895,0.5652173913043478,0.10615467446139974,0.021658954867284752,0.5652173913043478,7.260869565217392,5.0,1.0,,,,,,1.0,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_sl8,2023,9,0.15401194695087705,-0.09184993653775986,0.3333333333333333,0.1462921259155196,-0.0679914743461022,0.3333333333333333,14.0,19.0,0.5555555555555556,,0.4444444444444444,,,,,0.5555555555555556
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_sl8,2024,6,0.11195490703957466,-0.0618554859567883,0.3333333333333333,0.09955581405988416,-0.0728164722265206,0.3333333333333333,14.5,16.5,0.5,,0.5,,,,,0.5
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_sl8,2025,8,0.09724801282783657,0.10147446916688863,0.75,0.06533324729973564,0.06722317377728049,0.625,18.0,21.0,0.25,,0.75,,,,,0.25
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_sl8,2026,23,0.17160597316902826,-0.043137251820535405,0.4782608695652174,0.11892358169951316,-0.03475784316578656,0.4782608695652174,14.173913043478262,21.0,0.4782608695652174,,0.5217391304347826,,,,,0.4782608695652174
adj,candidate_a_repo50_c440_c5gt5,delayed3_ma10_or_sl8,2023,9,0.14928328578661296,-0.05290464990103416,0.3333333333333333,0.1421665809161149,-0.061389321118593076,0.3333333333333333,9.777777777777779,6.0,0.8888888888888888,,0.1111111111111111,,,0.5555555555555556,,0.3333333333333333
adj,candidate_a_repo50_c440_c5gt5,delayed3_ma10_or_sl8,2024,6,0.0741534242645765,-0.05564086755820852,0.16666666666666666,0.0702924558561559,-0.05633258364723004,0.3333333333333333,7.666666666666667,5.0,1.0,,,,,0.8333333333333334,,0.16666666666666666
adj,candidate_a_repo50_c440_c5gt5,delayed3_ma10_or_sl8,2025,8,0.07427075379251356,0.026716522347590255,0.625,0.059219534178436936,0.012886711260900241,0.5,11.375,12.0,0.875,,0.125,,,0.75,,0.125
adj,candidate_a_repo50_c440_c5gt5,delayed3_ma10_or_sl8,2026,23,0.10679449791127486,-0.0017361111235117965,0.4782608695652174,0.06363492696391958,-0.054345990296110536,0.43478260869565216,10.173913043478262,8.0,0.9130434782608695,,0.043478260869565216,,,0.6086956521739131,,0.34782608695652173
adj,candidate_a_repo50_c440_c5gt5,fixed20,2023,9,0.1941642037403237,0.02119572227661415,0.5555555555555556,0.1882614966293228,0.030326205691702635,0.5555555555555556,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_a_repo50_c440_c5gt5,fixed20,2024,6,0.08948398746975407,-0.07164502268801115,0.3333333333333333,0.09078935566694567,-0.08408144534775192,0.3333333333333333,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_a_repo50_c440_c5gt5,fixed20,2025,8,0.0935126908581396,0.10147446916688863,0.75,0.05641254016140085,0.06722317377728049,0.625,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_a_repo50_c440_c5gt5,fixed20,2026,23,0.3121372769150713,0.32093023255813957,0.8260869565217391,0.2248862681837227,0.20089212519058974,0.782608695652174,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma10,2023,13,0.12823697817901494,-0.03571428500427698,0.46153846153846156,0.12187690724480592,-0.025577372023330103,0.46153846153846156,10.538461538461538,9.0,0.9230769230769231,0.9230769230769231,0.07692307692307693,,,,,
adj,candidate_b_magic_c440_c5gt5,close_below_ma10,2024,12,0.020527667257081838,-0.05047750125394307,0.16666666666666666,0.013907835976362276,-0.04247022820033047,0.25,7.166666666666667,5.0,1.0,1.0,,,,,,
