price_mode,candidate,exit_rule,trades,avg_return,median_return,win_return,avg_excess,median_excess,win_excess,avg_hold_days,median_hold_days,pct_exit_before_20d,pct_reason_close_below_ma10,pct_reason_fixed20,pct_reason_close_below_ma5,pct_reason_close_sl8,pct_reason_delayed3_close_below_ma10,pct_reason_delayed3_close_below_ma5,pct_reason_delayed3_close_sl8
adj,candidate_a_repo50_c440_c5gt5,fixed20,43,0.21208142269901878,0.14471780070914075,0.6744186046511628,0.1597482444232622,0.0886193862734388,0.627906976744186,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma5,43,0.09212229587373079,-0.0016074298981961777,0.46511627906976744,0.08128827354732437,0.0036769575688868628,0.5116279069767442,6.976744186046512,5.0,1.0,,,,,,1.0,
adj,candidate_a_repo50_c440_c5gt5,close_below_ma5,43,0.06555252386750902,-0.01995012468827928,0.37209302325581395,0.05750893504141221,-0.019190846690659957,0.4186046511627907,4.953488372093023,3.0,1.0,,,1.0,,,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_below_ma10,43,0.09610097972734676,-0.018604651162790753,0.4418604651162791,0.0702895226841698,-0.0358960553629285,0.4186046511627907,9.906976744186046,7.0,0.9069767441860465,,0.06976744186046512,,,0.9302325581395349,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_ma10_or_sl8,43,0.09735729620742717,-0.018604651162790753,0.4418604651162791,0.0714702647327706,-0.0358960553629285,0.4186046511627907,9.883720930232558,7.0,0.9069767441860465,,0.06976744186046512,,,0.6511627906976745,,0.27906976744186046
adj,candidate_a_repo50_c440_c5gt5,close_below_ma10,43,0.09596885403437044,-0.018604651162790753,0.4418604651162791,0.07024600556475542,-0.03661746143447164,0.4186046511627907,9.813953488372093,7.0,0.9069767441860465,0.9302325581395349,0.06976744186046512,,,,,
adj,candidate_a_repo50_c440_c5gt5,delayed3_close_sl8,43,0.1359411336346253,-0.043137251820535405,0.46511627906976744,0.10156742851928527,-0.052360636983680986,0.4418604651162791,14.744186046511627,21.0,0.46511627906976744,,0.5348837209302325,,,,,0.46511627906976744
adj,candidate_a_repo50_c440_c5gt5,close_sl8,43,0.12233474031122583,-0.08096590909090906,0.4186046511627907,0.08997298030701217,-0.0700402904544346,0.4186046511627907,12.790697674418604,14.0,0.5116279069767442,,0.4883720930232558,,0.5116279069767442,,,
adj,candidate_b_magic_c440_c5gt5,fixed20,65,0.1533249723962459,0.09226932668329169,0.6307692307692307,0.11062812043889565,0.06393383412710762,0.5692307692307692,21.0,21.0,0.0,,1.0,,,,,
adj,candidate_b_magic_c440_c5gt5,delayed3_close_below_ma5,65,0.06337579367916062,-0.014062501598303467,0.46153846153846156,0.053265371012977604,-0.010982358202818565,0.47692307692307695,6.6,5.0,1.0,,,,,,1.0,
