group,label,trades,retention,avg_return,median_return,win_return,pf_return,avg_excess,median_excess,win_excess,pf_excess,right_tail_20pct,right_tail_50pct,bad_loss_minus10pct,avg_ret60_signal,median_ret60_signal,mode,delta_median_excess,delta_win_excess,delta_right_tail_50pct
volume_gap_top3,adj: baseline,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
volume_gap_top3,adj: top1/top3 < 1.5,36,0.8181818181818182,0.19733462335184848,0.13601630965415806,0.6388888888888888,5.421834427500526,0.15211176382380662,0.08143798086682899,0.6111111111111112,4.29493091462676,0.3888888888888889,0.16666666666666666,0.2222222222222222,0.5223319238705975,0.44870480879028374,adj,-0.015120752824592909,-0.025252525252525193,-0.015151515151515166
volume_gap_top3_flagged,adj: flagged top1/top3 >= 1.5,8,0.18181818181818182,0.2721027165703938,0.20763458074844895,0.875,48.058011122089106,0.1883362713684615,0.117395819752591,0.75,10.235199834625755,0.5,0.25,0.0,0.4192865667387366,0.2981590317678807,adj,0.020837086061169102,0.11363636363636365,0.06818181818181818
volume_gap_top3,adj: top1/top3 < 2,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
volume_gap_top3_flagged,adj: flagged top1/top3 >= 2,0,0.0,,,,,,,,,,,,,,adj,,,
volume_gap_top3,adj: top1/top3 < 3,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
volume_gap_top3_flagged,adj: flagged top1/top3 >= 3,0,0.0,,,,,,,,,,,,,,adj,,,
volume_gap_top5,adj: baseline,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
volume_gap_top5,adj: top1/top5 < 1.5,22,0.5,0.22424609411764995,0.17227509017753556,0.6818181818181818,7.029243389308568,0.16852307232849537,0.1010792723389473,0.6363636363636364,5.003629628590757,0.4090909090909091,0.22727272727272727,0.18181818181818182,0.5953004207440656,0.6494507285064641,adj,0.004520538647525399,0.0,0.04545454545454544
volume_gap_top5_flagged,adj: flagged top1/top5 >= 1.5,22,0.5,0.1976115501200635,0.13601630965415806,0.6818181818181818,6.209063495317362,0.14887300351717414,0.07516252119526359,0.6363636363636364,4.642907213912128,0.4090909090909091,0.13636363636363635,0.18181818181818182,0.41189238804008893,0.3360526170116819,adj,-0.021396212496158307,0.0,-0.04545454545454547
volume_gap_top5,adj: top1/top5 < 2,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
volume_gap_top5_flagged,adj: flagged top1/top5 >= 2,0,0.0,,,,,,,,,,,,,,adj,,,
volume_gap_top5,adj: top1/top5 < 3,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
volume_gap_top5_flagged,adj: flagged top1/top5 >= 3,0,0.0,,,,,,,,,,,,,,adj,,,
volume_gap_top10,adj: baseline,44,1.0,0.21092882211885672,0.15304239894051436,0.6818181818181818,6.615097663468167,0.15869803792283477,0.0965587336914219,0.6363636363636364,4.825933942565135,0.4090909090909091,0.18181818181818182,0.18181818181818182,0.5035964043920773,0.4165500914293717,adj,0.0,0.0,0.0
volume_gap_top10,adj: top1/top10 < 1.5,3,0.06818181818181818,0.2070399217098801,0.161366997171888,0.6666666666666666,5.103637452492105,0.15285824198768466,0.1135391584044559,0.6666666666666666,4.8837507265342035,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3736969560382592,0.3950947972430616,adj,0.016980424713034,0.030303030303030276,0.1515151515151515
volume_gap_top10_flagged,adj: flagged top1/top10 >= 1.5,41,0.9318181818181818,0.21121337580731842,0.1447178007091407,0.6829268292682927,6.76746172102972,0.1591253400644311,0.0886193862734387,0.6341463414634146,4.821934745872366,0.4146341463414634,0.17073170731707318,0.17073170731707318,0.5131012420765031,0.42500049150650443,adj,-0.007939347417983203,-0.0022172949002217113,-0.01108647450110864
volume_gap_top10,adj: top1/top10 < 2,20,0.45454545454545453,0.267952231269958,0.2033031445579756,0.7,9.152378653503552,0.2130216184484576,0.146325936309052,0.7,7.450494257615426,0.5,0.25,0.15,0.49631611502044864,0.3527563687207994,adj,0.049767202617630096,0.0636363636363636,0.06818181818181818
volume_gap_top10_flagged,adj: flagged top1/top10 >= 2,24,0.5454545454545454,0.16340931449293902,0.10147446916688854,0.6666666666666666,4.939622064621516,0.11342838748481572,0.03807658348641235,0.5833333333333334,3.337486818974666,0.3333333333333333,0.125,0.20833333333333334,0.5096633122017679,0.47542427556269884,adj,-0.05848215020500955,-0.05303030303030298,-0.05681818181818182
